Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
,JORARGANJ,1018.42,1093.76,1123.46,1137.24,1137.84,1190.81,1235.41,1269.77,1277.10,1330.19,1435.18,1489.35,1460.55,1495.37,1562.80,1568.47,1535.00,1595.07,1685.43,1611.28,1684.06,1761.83,1757.09,1748.62
,KARNAPHULI,268.81,235.04,257.20,266.84,292.57,304.66,319.21,346.59,402.07,378.64,420.17,407.28,420.82,417.67,428.69,523.65,467.73,518.97,530.47,516.44,549.89,560.31,565.83,566.63
,KOTWALI_CHATTOGRAM,31726.29,31987.73,33590.18,32470.48,33107.64,34519.29,35158.37,37305.22,39105.77,39128.05,40443.20,45884.31,46607.55,46948.78,48606.91,50529.77,50381.25,49664.50,44722.78,46791.09,52717.05,54880.25,54465.27,53918.92
,KULSHI,2015.05,1998.28,1991.69,2089.00,2184.29,2255.68,2308.27,2461.46,2486.72,2557.31,2611.37,2870.73,2749.51,2857.92,2866.85,3083.10,3235.06,3239.15,3484.45,3607.14,3952.71,4018.52,4147.92,4269.16
,LOHAGARA,1856.94,1916.78,2026.33,2073.09,2075.97,2166.69,2263.73,2348.22,2342.09,2395.73,2580.17,2632.98,2633.62,2687.27,2774.97,2813.95,2784.87,2936.22,2978.25,2892.65,2988.89,3114.91,3133.32,3049.59
,MIRSARAI,800.79,844.44,866.50,899.67,904.97,942.01,1002.91,1050.03,1037.66,1103.26,1198.91,1299.99,1307.68,1375.67,1943.56,1978.13,1531.63,1577.85,1501.78,1484.39,1549.55,1595.45,1645.92,1684.18
,PAHARTALI,2062.22,2096.97,2230.00,2134.56,2102.33,2135.63,2142.56,2381.74,2312.29,2280.62,2515.90,2609.15,2538.96,2665.05,2812.67,3085.84,2983.02,3075.36,3056.66,3200.08,3268.18,3224.87,3363.70,3229.95
,PANCHLAISH,9443.33,9277.60,9506.88,9946.87,10011.18,10059.23,10379.75,11055.49,11095.10,11505.49,11907.81,12568.68,12264.62,12943.40,13173.03,13674.63,13920.61,14757.95,14476.31,14736.99,16778.60,17174.45,17534.10,17571.88
,PATENGA,1129.07,1362.73,1337.15,1326.00,1313.24,1474.23,1268.77,1289.81,1258.54,1361.89,1454.66,1579.89,1652.29,1757.84,1804.22,1782.78,1748.78,1900.59,1938.58,1976.47,1942.58,1866.12,2027.49,2192.38
,PATIYA,1775.61,1836.95,1833.71,1883.21,1898.06,1970.98,2024.12,2157.73,2143.13,2230.06,2454.13,2567.96,2548.82,2668.66,2759.51,2853.58,2900.10,3001.62,2937.03,2998.19,3096.62,3356.15,3342.73,3720.93
,RANGUNIA,1641.29,1624.00,1680.85,1738.31,1732.89,1785.43,1872.96,1996.31,2006.47,2084.05,2270.41,2447.19,2493.12,2586.28,2638.61,2744.48,2839.28,2915.53,3022.55,2994.00,3068.70,3237.34,3308.85,3527.45
,RAOZAN,3546.72,3609.08,3665.00,3707.95,3665.16,3788.38,3846.39,4025.77,4030.30,4150.31,4415.92,4546.84,4565.19,4714.68,4803.64,4919.35,4879.56,5044.92,5018.50,5014.64,5142.24,5296.76,5473.38,5599.93
,SADARGHAT,1296.65,1290.33,1321.28,1327.61,1313.85,1344.73,1359.01,1397.57,1358.43,1381.33,1430.97,1613.85,1831.56,1999.76,2165.94,2171.90,3736.94,2907.36,2028.67,2067.58,2169.88,2194.77,2227.27,2147.69
,SANDWIP,1104.23,1173.72,1177.86,1215.26,1208.30,1243.45,1280.05,1333.45,1301.24,1364.03,1439.24,1505.82,1494.09,1540.36,1571.30,1610.52,1558.73,1642.17,1681.55,1678.09,1699.56,1758.15,1806.47,1816.54
,SATKANIA,1445.52,1523.33,1701.52,1651.99,1642.31,1589.43,1653.13,1705.91,1705.66,1727.71,1865.54,1868.45,1877.26,1945.98,2101.67,2110.83,2021.83,2168.13,2175.29,2118.60,2213.79,2338.84,2411.70,2274.60
,SITAKUNDA,2585.90,2655.62,2639.04,2751.25,2756.09,2803.77,2872.38,2973.70,2985.38,3114.01,3234.51,3452.45,3424.52,3571.33,3574.23,3755.94,3676.15,3867.17,3715.23,3740.12,3794.15,3846.25,3963.87,3918.10
CHUADANGA Total,,1908.83,2044.52,1985.11,2049.45,2042.60,2226.77,2240.23,2412.91,2350.94,2524.86,2694.33,2782.84,2784.01,2794.59,3046.99,2966.82,3049.16,3671.68,3227.95,3213.87,3340.00,3334.90,3564.26,3592.15
CHUADANGA,ALAMDANGA,367.05,398.60,397.73,395.20,400.24,433.07,448.44,463.52,453.13,499.42,529.41,555.61,557.37,573.65,618.46,617.11,604.85,656.83,671.64,649.51,675.23,685.43,720.82,718.42
,CHUADANGA SADAR,979.22,1043.60,992.56,1043.00,1037.18,1138.15,1132.54,1219.95,1227.19,1299.02,1375.73,1392.38,1397.29,1408.40,1521.11,1496.06,1569.09,2046.72,1511.63,1532.77,1600.84,1559.51,1693.29,1722.38
,DAMURHUDA,302.65,326.32,322.58,333.38,328.70,357.23,348.98,411.91,363.63,387.26,436.99,454.19,447.08,420.90,507.66,484.97,503.46,545.88,609.57,611.18,603.54,630.21,656.74,649.33
,DARSHANA,,,,,,,,,,,,,,,,0.05,2.60,5.07,7.33,15.87,24.01,24.86,31.77,33.30
,JIBAN NAGAR,259.91,276.00,272.24,277.87,276.49,298.32,310.27,317.53,307.00,339.15,352.19,380.65,382.26,391.63,399.77,368.63,369.15,417.19,427.78,404.54,436.37,434.89,461.63,468.73
COX'S BAZAR Total,,6898.36,7568.74,7615.47,8712.62,8894.28,9371.69,9349.37,9746.29,9754.27,10238.68,10582.21,11322.72,11091.45,11354.46,11994.65,12239.52,11671.79,11571.54,11488.39,11262.99,11685.21,12095.15,12320.15,12142.79
COX'S BAZAR,CHAKARIA,1199.70,1296.24,1317.58,1320.93,1349.99,1478.31,1505.99,1554.53,1545.07,1597.44,1699.23,1755.47,1728.23,1813.83,1872.85,1901.93,1837.16,1976.71,2024.63,1919.78,2013.53,2083.09,2096.34,2134.21
,COX'S BAZAR SADAR,3168.44,3587.88,3474.36,4499.39,4571.58,4792.21,4645.51,4858.17,4836.88,5068.31,5164.62,5644.14,5526.84,5595.01,5576.06,5700.10,5607.23,5201.92,5073.84,5086.37,5158.75,5285.15,5353.51,5352.87
,EIDGAON,616.48,608.35,657.79,666.60,700.30,723.55,744.84,786.16,776.59,874.42,838.14,891.89,883.77,907.72,927.09,971.34,939.18,991.39,1015.61,955.52,1008.79,1042.41,1050.07,978.47
,KUTUBDIA,95.60,93.78,103.51,105.65,105.49,105.93,108.31,111.48,112.40,121.49,119.37,118.47,115.10,122.86,122.35,125.97,130.12,135.42,144.62,140.66,146.08,151.25,152.75,151.82
,MAHESKHALI,225.92,243.22,247.99,256.56,275.47,295.90,314.36,326.64,345.32,352.09,367.26,393.05,375.67,383.99,438.69,429.30,489.72,524.11,479.77,503.19,577.21,595.42,614.92,591.79
,PEKUA,144.24,150.15,163.31,164.29,174.18,184.58,209.05,229.62,242.24,248.56,277.78,298.15,299.81,310.91,324.16,344.33,345.78,364.68,381.73,354.78,368.95,392.38,414.97,406.55
,RAMU,375.89,430.50,442.18,433.83,452.31,456.20,484.74,490.15,498.29,540.62,627.83,655.84,630.60,639.55,633.57,611.81,630.91,668.15,691.02,666.59,711.45,730.18,756.87,720.02
,TEKNAF,673.06,709.37,724.46,741.13,748.42,778.78,762.83,789.14,785.03,791.23,823.61,859.00,836.84,862.25,868.10,887.26,866.92,870.53,888.29,847.93,899.72,942.91,987.10,926.12
,UKHIA,399.03,449.25,484.30,524.26,516.54,556.23,573.74,600.40,612.44,644.53,664.39,706.71,694.60,718.34,1231.78,1267.48,824.77,838.62,788.87,788.18,800.75,872.36,893.63,880.95
CUMILLA Total,,20728.73,21558.79,22116.16,22815.55,23197.14,24228.61,24967.13,26135.44,25965.45,27089.67,29195.69,30663.90,31047.24,31688.23,33037.52,34657.75,34445.00,36559.83,35938.50,34445.41,36658.65,38410.76,39541.86,40044.18
CUMILLA,BANGORA,79.90,86.56,88.63,95.07,93.09,98.48,97.45,108.04,99.96,105.47,115.74,126.42,122.88,135.15,136.36,146.64,143.96,151.51,153.31,135.82,157.76,166.65,173.41,174.35
,BARURA,807.62,850.06,905.60,938.59,954.93,1023.64,1078.93,1147.00,1141.26,1183.52,1282.28,1424.36,1393.72,1412.90,1443.16,1508.06,1492.10,1557.22,1571.17,1492.18,1605.85,1709.51,1742.00,1728.63
,BRAHMANPARA,240.93,257.95,267.87,275.35,277.10,293.20,294.96,311.66,300.62,328.21,348.66,364.61,371.90,387.14,394.93,409.26,415.37,455.09,464.38,445.53,489.07,514.09,523.55,530.84
,BURICHANG,775.83,802.92,851.62,862.38,870.05,903.95,928.36,996.75,970.95,1020.54,1110.82,1190.97,1168.48,1226.40,1279.75,1328.19,1305.93,1392.20,1414.10,1354.87,1445.69,1534.16,1580.60,1577.71
,CHANDINA,982.15,1055.03,1111.96,1151.18,1199.20,1258.91,1346.67,1399.08,1392.02,1447.85,1580.55,1684.66,1691.98,1733.46,1826.22,1886.90,1935.78,2213.86,2125.33,2033.32,2233.30,2357.78,2403.41,2488.10
,CHAUDDAGRAM,1770.37,1791.41,1813.33,1880.81,1928.92,2003.82,2061.37,2171.49,2096.93,2184.64,2389.28,2539.39,2569.39,2615.69,2854.26,2949.86,2833.06,3018.10,2978.33,2785.04,2912.14,3062.33,3117.16,3141.99
,CUMILLA SADAR SOUTH,923.53,949.49,971.78,1017.71,1039.30,1080.81,1152.43,1240.71,1242.63,1328.87,1399.66,1504.94,1704.58,1597.93,1654.43,1854.56,1831.63,1802.78,1798.90,1732.38,1954.27,2059.78,2083.75,2062.35
,DAUDKANDI,1911.83,2003.09,2095.48,2157.89,2238.52,2290.64,2361.56,2482.90,2435.58,2507.02,2753.29,2892.90,2949.69,2954.22,3190.75,3338.67,3254.81,3364.55,3232.93,2953.42,3147.76,3341.82,3439.75,3473.68
,DEBIDWAR,531.27,553.19,579.07,574.05,582.56,606.00,617.22,637.25,621.89,670.62,705.38,738.19,739.22,770.29,792.82,803.14,790.36,834.91,837.14,811.06,867.79,904.64,930.12,930.08
,HOMNA,486.66,523.16,553.55,563.36,582.34,614.37,641.55,669.16,639.70,674.15,727.74,769.57,771.14,815.13,847.18,878.56,877.22,920.78,941.25,856.10,942.58,996.43,1023.05,988.65
,KOTWALI_CUMILLA,7907.66,8077.61,8164.15,8464.13,8505.89,8902.77,9056.18,9404.56,9539.52,9904.86,10534.53,10826.01,10930.16,11147.61,11460.63,12148.09,12137.29,12898.88,12693.48,12626.30,13242.50,13673.93,14279.77,14662.52
,LAKSHAM,1768.91,1867.66,1892.69,1935.94,1978.97,2045.63,2114.71,2196.77,2196.51,2271.33,2442.41,2524.75,2551.82,2616.48,2677.38,2718.65,2752.08,2943.60,2837.81,2699.56,2840.34,2956.84,3035.89,3038.52
,LALMAI,135.77,143.00,147.65,153.89,153.85,159.46,162.39,165.22,154.98,167.56,200.06,234.17,246.55,255.24,266.23,286.16,265.46,283.36,293.55,277.93,298.19,311.53,312.81,317.85
,MEGHNA,93.65,108.48,105.73,109.59,115.80,134.76,136.56,145.12,145.49,160.45,169.97,181.77,183.49,205.62,218.49,219.89,202.32,224.52,233.78,205.91,231.07,244.92,245.51,252.24
,MONOHORGANJ,261.39,286.50,285.30,298.65,305.31,324.28,333.50,348.20,340.36,363.65,395.37,425.10,429.66,451.95,467.11,483.22,517.25,563.30,532.81,510.17,556.32,586.64,592.00,600.83
,MURADNAGAR,1257.33,1338.79,1405.84,1429.48,1455.95,1514.06,1572.26,1649.63,1630.23,1694.33,1850.34,1960.85,1923.26,1979.32,2103.18,2242.09,2191.06,2275.26,2250.13,2073.33,2148.37,2315.04,2357.87,2359.30
,NANGOLKOT,596.59,651.90,654.34,686.54,691.50,736.77,768.81,812.86,778.21,821.40,916.91,984.06,993.88,1058.75,1097.49,1125.99,1160.58,1302.91,1207.44,1112.24,1214.88,1282.47,1301.04,1301.81
,TITAS,197.32,212.00,221.57,220.93,223.87,237.08,242.25,249.03,238.59,255.21,272.71,291.18,305.43,324.95,327.16,329.83,338.74,356.98,372.64,340.24,370.77,392.20,400.17,414.74
DHAKA Total,,517379.36,533318.40,540228.29,567343.53,570468.16,596232.22,606521.12,635862.00,635439.78,662190.79,683962.70,716395.11,723626.68,753826.62,759379.03,785557.20,782370.88,809168.69,818410.24,832848.09,886697.53,890136.96,911263.02,914399.74
DHAKA,ADABOR,2791.34,2895.03,3186.88,3265.31,3291.74,3400.66,3367.55,3460.49,3318.77,3598.44,3652.99,3826.55,3815.83,4193.93,4268.84,4372.14,4333.50,4559.64,4858.75,4863.05,5264.81,5057.43,5123.76,5335.39
,ASHULIA,4407.38,4512.14,4634.95,4793.11,4762.13,4826.10,5107.56,5469.36,5188.50,5619.84,5650.79,5901.34,5929.33,6230.04,6360.79,6555.64,6561.78,6966.06,7490.00,7049.43,7276.59,7393.30,7650.03,7915.36
,BADDA,3177.24,3332.94,3339.76,3470.95,3647.98,3893.69,3961.48,4424.11,4673.70,4600.82,4918.31,5169.84,5740.95,5632.04,5837.73,6514.71,6285.47,6304.01,6742.71,6904.88,7238.39,7736.22,7746.04,8208.43
,BANANI,27071.03,27257.00,28663.86,30026.29,30705.39,32286.50,32547.43,34125.88,34639.63,36467.76,38134.41,39933.69,41214.12,45296.62,43973.97,44800.05,44479.73,46432.62,45342.55,45174.40,49073.02,50716.36,51817.79,51486.80
,BANGSHAL,5947.38,6227.61,6039.04,6153.57,6305.56,6675.86,6405.77,6786.86,6523.54,6624.22,6935.70,7588.36,7459.19,8029.01,7964.71,8079.28,8003.53,8092.80,8158.20,8628.13,8919.33,8849.34,8968.72,8926.63
,BHASHANTEK,190.17,193.74,189.81,191.68,210.88,208.85,206.26,214.51,220.66,190.95,198.38,221.14,232.28,235.90,226.08,254.05,300.92,315.72,304.03,301.01,360.07,352.01,363.70,363.73
,CANTONMENT,8427.58,9098.17,8194.70,8089.60,8132.74,10092.36,9521.37,9369.26,9515.98,11183.00,11045.55,11684.65,11243.22,12574.79,12343.42,12291.61,12446.75,13590.20,13537.42,13911.64,14612.04,14508.00,14648.03,14719.72
,CHAWKBAZAR,7667.80,7897.32,7914.05,8051.26,7996.39,7771.00,8064.18,8416.81,8413.73,8608.06,8651.85,9142.46,8950.65,9351.23,9497.07,9765.36,9594.18,10077.35,9980.93,10088.17,10726.11,10850.04,11171.25,11739.87
,DARUS SALAM,2399.20,2458.67,2484.21,2525.29,2592.44,2704.47,2692.75,2883.68,2949.46,2936.17,3240.22,3354.98,3490.93,3690.17,3677.13,3873.89,3947.44,4060.91,3310.75,4205.88,4347.47,4338.31,4518.51,4356.78
,DASKHINKHAN,2008.23,2068.13,2120.59,2206.51,2258.71,2363.54,2450.71,2475.44,2515.29,2655.69,2638.57,2694.62,2696.06,2691.98,2719.58,2808.14,2838.85,2966.29,3092.08,2919.19,3027.52,3050.27,3147.52,3199.20
,DEMRA,1420.04,1464.09,1478.79,1513.08,1534.80,1617.91,1702.62,1795.20,1795.25,1818.35,1948.99,2152.25,2221.93,2252.01,2288.36,2362.15,2392.00,2549.09,2554.97,2490.05,2584.30,2642.55,2666.80,2698.77
,DHAKA INT. AIRPORT,2870.00,2664.75,2774.04,3023.23,3045.78,2784.46,3317.81,3363.37,3180.47,2882.03,3100.62,3397.97,2975.04,3109.42,2649.59,2722.70,2411.59,2659.65,3485.29,3840.93,3431.16,3836.56,3646.25,3771.21
,DHAMRAI,1120.61,1173.98,1194.46,1189.17,1181.85,1156.68,1283.76,1369.83,1349.67,1366.41,1442.87,1490.85,1539.32,1630.98,1679.40,1747.69,1776.54,1902.97,2003.19,1893.06,1943.99,2024.74,2056.31,2071.22
,DHANMONDI,27611.05,28567.83,29207.50,30232.54,30949.58,32447.33,33901.51,35062.12,34933.55,35628.09,36427.36,38165.11,37709.20,38559.25,39493.71,40802.99,40532.62,41486.22,42273.48,43502.56,45307.52,46111.80,46865.10,47617.95
,DOHAR,2102.42,2177.70,2211.13,2266.98,2266.41,2326.56,2396.24,2541.86,2472.06,2557.25,2762.25,2896.73,2928.94,2965.07,3018.58,3084.64,3084.08,3167.65,3231.56,3134.39,3202.19,3308.74,3392.05,3391.90
,GENDARIA,309.53,319.52,318.35,328.79,325.29,335.33,339.33,350.00,351.00,358.90,389.32,422.33,506.49,476.63,483.34,553.26,576.22,568.10,616.50,637.40,623.19,640.52,665.76,665.83
,GULSHAN,74949.21,77080.55,77892.03,87448.97,89771.10,92282.22,94340.61,100068.17,102355.58,112003.75,110855.08,115115.69,118092.60,124963.91,124630.59,130645.57,132378.13,136461.14,143074.97,148069.73,162748.90,162024.47,169083.61,170648.50
,HATIRJHEEL,2854.47,3469.38,3422.58,3303.17,3169.60,3325.61,3712.96,3969.99,4119.80,4420.71,4441.41,4127.73,3952.94,4163.97,4168.51,4416.29,4305.37,5288.98,5180.37,5254.33,5091.93,5114.35,4990.43,4680.17
,HAZARIBAGH,1197.92,1151.81,1104.62,1180.83,1191.20,1120.06,1578.53,1581.46,1571.98,1617.68,1554.02,1625.10,1804.25,1843.33,2212.72,2390.94,2379.23,2311.11,2288.81,2236.82,2372.38,2382.06,2404.33,2333.50
,JATRABARI,2763.59,2742.23,2832.12,2890.72,2970.35,3023.76,3082.03,3279.80,3132.51,3185.75,3333.16,3587.19,3567.79,3669.59,3767.91,3933.14,3883.12,3905.29,3999.64,4127.41,4152.77,4240.04,4365.42,4430.70
,KADAMTOLI,1420.85,1551.99,1612.66,1659.09,1798.68,1926.21,1804.79,1898.47,1860.44,1945.52,2004.54,2076.77,2114.68,2171.37,2150.11,2273.54,2241.51,2411.03,2419.65,2341.90,2449.84,2476.35,2566.61,2545.77
,KAFRUL,4235.58,4592.96,4732.27,4820.29,4786.87,5133.65,5221.93,5457.42,5536.91,5617.32,5840.85,6126.76,6109.73,6301.04,6545.79,6888.12,6884.12,7306.00,7572.72,7474.33,7938.22,8037.09,8199.76,7974.36
,KALABAGAN,5583.96,5671.85,5985.55,6355.61,6353.47,6810.89,7095.07,7360.42,7051.92,7405.36,7026.05,7456.93,7514.28,7781.44,7519.44,8164.45,8806.89,9402.00,9197.56,9444.95,8851.00,8494.40,8298.24,8340.70
,KAMRANGIRCHAR,405.62,441.81,443.89,452.81,470.81,520.35,531.19,550.92,545.29,553.43,579.09,724.08,750.90,809.89,824.95,847.08,833.24,906.00,887.08,805.08,796.47,790.91,801.25,814.95
,KERANIGANJ,2930.73,3217.42,3256.14,3455.28,3380.73,3654.91,3701.61,3951.49,3999.75,4025.14,4388.04,4683.98,4794.25,4909.35,4921.47,5149.73,5170.12,5437.33,5476.56,5276.82,5511.12,5620.53,5725.59,5749.15
,KHILGAON,1853.32,1827.50,1889.09,2028.88,2158.37,2192.65,2406.20,2583.24,2574.45,2669.02,2776.49,2970.53,3139.02,3286.51,3429.94,3610.43,3652.32,3800.05,4105.01,4056.89,4263.18,4420.45,4593.01,4665.94
,KHILKHET,3353.27,2875.63,3916.63,4116.45,3163.85,3291.50,3828.04,4216.62,3855.96,3754.09,3674.43,3409.11,3378.92,3984.72,4402.47,5811.23,4394.15,5482.52,5286.01,5139.50,5077.53,5444.27,5070.45,5592.84
,KOTWALI_DHAKA,8545.35,9257.48,9121.22,9985.37,10140.62,11884.71,12432.66,12760.57,10832.33,12024.14,12681.84,13355.49,12399.73,12262.00,11420.29,11887.76,11814.49,13183.20,11689.75,11829.20,12570.28,12631.78,12478.18,12642.29
,LALBAGH,1364.74,1436.84,1494.68,1565.24,1520.15,1670.76,1728.80,1900.78,2109.05,1968.85,2103.43,2207.08,2146.47,2233.47,2295.51,2457.72,2084.57,2045.53,2019.25,2192.55,2507.05,2553.16,2591.71,2467.04
,MIRPUR,7786.45,8154.33,8601.72,9042.21,9023.33,9236.39,9679.92,10389.57,10575.02,10990.22,12054.99,12609.01,12671.05,12996.47,13322.05,12816.62,13258.97,13634.87,13700.16,13754.09,14445.65,15091.72,15314.15,14019.13
,MOHAMMADPUR,9755.40,9798.88,10176.44,10051.87,9795.10,10923.93,10850.02,11404.11,11438.73,12444.58,12834.99,13543.66,14481.46,14814.66,14297.20,14832.70,14851.68,15201.78,15452.73,15503.44,16414.99,17896.11,18055.75,17831.74
,MOTIJHEEL,131933.78,134767.19,133290.13,142024.41,140252.80,145196.93,145315.09,151247.43,147346.42,152126.68,159890.73,167626.89,166991.07,169318.27,173645.32,181009.10,178615.32,182226.73,183260.63,186613.22,193365.42,186849.34,196125.58,192294.19
,MUGDHA,394.24,411.02,447.42,469.26,494.62,480.92,485.73,501.54,499.39,512.27,561.31,573.09,569.12,581.84,580.51,605.89,610.20,661.36,671.18,688.11,747.44,825.63,800.02,795.63
,NAWABGANJ,2764.31,2813.86,2798.15,2841.20,2842.53,2866.40,2979.33,3158.86,3108.02,3215.49,3428.39,3632.42,3617.69,3702.20,3778.68,3884.02,3780.65,3953.32,3993.10,3900.86,4049.30,4196.02,4274.21,4288.10
,NEW MARKET,7070.47,7190.79,7251.50,7517.57,7753.07,7812.61,8098.60,8600.00,8615.22,8862.44,9176.59,9990.53,9204.11,9851.35,9855.36,9940.93,10088.31,10180.16,10128.83,10299.67,10365.55,10618.43,10863.46,10741.66
,PALLABI,5430.60,5449.19,5354.87,5492.35,5570.17,6059.08,6328.89,6715.16,6551.94,6779.03,7009.71,7503.00,7759.19,7948.10,7920.22,8172.49,8071.21,9014.25,9274.62,9461.21,10026.11,10727.16,10890.41,11169.47
,PALTAN,21923.61,22333.29,23575.87,25828.42,27852.63,29935.40,29063.44,30403.87,32277.83,34165.75,35163.90,37539.82,38168.67,40630.76,37545.68,36861.93,37215.69,38064.24,38575.29,39273.80,41413.85,41837.93,42161.81,42861.23
,RAMNA,17615.74,20095.55,21040.45,18910.29,17559.59,19784.25,20146.30,20513.55,21831.22,22592.69,22928.51,23823.84,24919.56,26210.51,27122.31,27180.85,26373.24,28362.13,28575.62,28422.89,29939.69,30120.52,29329.13,30891.24
,RAMPURA,3402.90,3572.77,3663.50,3869.04,3968.56,4082.79,4374.70,4852.45,4613.49,4539.25,4648.01,4823.56,4730.83,5359.89,4923.44,5276.75,5225.47,5334.66,5268.77,5354.04,5798.29,5626.20,5722.54,5770.69
,RUPNAGAR,419.11,497.07,459.40,476.44,481.56,506.85,532.96,635.12,624.27,688.68,697.53,744.46,776.32,766.93,805.41,807.84,814.33,816.25,879.43,839.70,892.62,907.93,869.23,834.81
,SABUJBAGH,1208.47,1257.56,1275.77,1331.91,1329.58,1396.47,1511.64,1583.27,1649.85,1783.06,1808.28,1953.79,1940.03,2124.63,2172.88,2158.79,2120.39,2145.14,2178.61,2540.54,2182.48,2354.07,2369.78,2355.51
,SAVAR,5447.64,5703.61,5746.58,6050.69,6019.16,6225.49,6483.42,6741.99,6613.54,6822.02,7215.18,7549.00,7565.08,7862.28,8127.87,8232.56,8209.35,8631.33,8956.64,8694.77,9160.87,9350.32,9677.64,9889.51
,SHAH ALI,629.87,624.20,579.94,559.59,553.42,507.84,597.74,599.19,572.82,555.58,520.85,726.81,775.73,898.29,1570.19,1602.09,1697.14,1554.76,1497.93,1524.70,1560.29,1582.58,1557.31,1001.66
,SHAHBAG,12204.08,12516.89,12670.19,12267.28,12773.76,13530.16,14136.46,14750.67,14522.92,14602.31,15700.19,16931.92,17149.79,18328.12,18071.86,18485.26,19707.49,22575.12,22256.04,21616.25,23124.23,26088.49,24341.68,24160.39
,SHAHJAHANPUR,2265.82,2311.31,2332.46,2364.55,2297.46,2537.12,2442.78,2516.66,2501.37,2645.48,2677.10,2906.29,3098.70,3423.59,3990.87,4060.55,3885.80,3742.78,3948.51,3881.16,4118.33,4275.28,3843.87,3623.61
,SHER-E-BANGLA NAGAR,7355.68,8664.54,7544.02,8268.85,8005.26,8586.55,7950.94,8046.02,8803.08,9202.01,9334.01,10232.03,10298.95,10598.38,11941.39,12166.38,11893.86,11611.50,11088.83,12178.76,14985.75,14805.92,15603.13,15302.38
,SHYAMPUR,1304.85,1289.29,1350.11,1361.53,1375.40,1309.60,1312.75,1359.34,1336.67,1325.41,1374.35,1504.73,1584.58,1588.99,1647.97,1638.12,1666.21,1739.31,1857.60,1753.08,1853.53,1897.37,1934.44,1874.25
,SOUTH KERANIGANJ,1447.92,1709.91,1653.15,1783.78,1766.58,2054.93,1999.48,2162.31,2016.60,2121.69,2163.66,2365.91,2315.00,2477.39,2488.90,2666.99,2776.36,2964.11,2772.28,2674.35,2922.65,2849.63,2993.98,3295.10
,SUTRAPUR,2646.27,2681.93,2702.60,2864.50,2805.02,2811.96,2894.67,3117.36,3113.19,3007.56,3058.40,3353.34,3491.61,3492.16,3604.75,3773.75,3716.12,3755.11,3653.36,3695.95,3959.22,4038.77,4227.32,4261.17
,TEJGAON,29264.58,28808.46,29283.89,30072.25,29596.85,28620.33,30482.60,32185.37,32569.90,32136.03,33201.46,33924.59,35078.64,36283.05,36270.90,36950.27,35507.52,35058.46,34076.34,34786.83,40653.99,39042.18,40361.41,41226.06
,TEJGAON I/A,936.30,933.78,976.43,1087.18,1197.40,1128.88,1176.73,1232.05,1199.00,1278.85,1308.96,1493.00,1611.27,1631.55,1689.46,1601.26,1630.83,1738.95,1625.02,1713.51,2467.16,2584.74,2576.25,2617.20
,TURAG,424.16,432.63,437.18,452.33,435.71,471.38,524.12,562.12,533.57,520.51,545.74,600.07,601.34,599.10,620.09,639.73,640.75,677.63,713.84,686.48,721.62,772.90,773.93,761.71
,UTTARA EAST,11953.09,11936.46,13460.79,13052.20,13221.42,14057.92,13671.56,14486.57,14458.98,14417.59,16261.76,16237.99,17036.77,16285.47,17019.74,18516.93,18525.67,18258.53,19305.71,19901.14,22308.21,22301.06,21947.23,23620.80
,UTTARA WEST,11436.94,11958.49,12026.37,12420.46,12756.57,13688.72,13666.93,14460.81,14387.85,14504.77,15299.92,15757.43,15370.80,16146.98,16634.16,17320.73,17191.28,18329.98,18788.81,19029.47,20268.00,20778.40,21393.21,21776.58
,UTTARKHAN,347.60,376.00,385.20,397.50,402.31,411.05,286.37,455.58,420.18,431.94,437.35,434.62,456.42,472.31,473.69,498.01,514.96,549.63,564.86,555.07,609.99,641.55,651.75,645.52
,VATARA,5548.84,5809.19,5945.31,6181.59,6423.48,6362.35,6920.44,7382.03,7661.25,7449.43,7779.54,7773.42,8091.78,9051.20,8862.87,9404.29,9981.74,9475.93,9696.80,10254.69,10337.76,10398.00,10884.15,11074.55
,WARI,3481.00,3594.13,3543.24,3714.21,3831.35,3917.34,3876.70,4110.85,4010.25,4182.74,4484.70,4730.54,4852.09,5082.49,5623.25,5388.02,5407.87,5271.20,5468.96,5456.65,5736.13,6032.68,6103.45,6061.16
DINAJPUR Total,,5377.04,5751.51,5504.71,5645.90,5616.37,6013.63,6237.25,6542.85,6559.20,6876.47,6808.29,7222.64,7258.44,7639.53,7771.83,7987.30,8165.14,8455.15,8368.55,8363.88,8690.78,9091.67,9029.69,9099.73
