district,year,deposits,growth_rate_%
FARIDPUR,2022,826.39,12.011873619149593
FARIDPUR,2023,582.31,-29.535691380583017
FARIDPUR,2024,295.0,-49.33969878587007
FARIDPUR Total,2018,17431.480000000003,
FARIDPUR Total,2019,20214.5,15.965483137404268
FARIDPUR Total,2020,24063.22,19.039402409161752
FARIDPUR Total,2021,27122.35,12.712887136468009
FARIDPUR Total,2022,29255.92,7.866464373477955
FARIDPUR Total,2023,21075.510000000002,-27.96155444778354
FARIDPUR Total,2024,10798.98,-48.76052821497559
FENI,2018,3266.96,
FENI,2019,3634.67,11.255417880843343
FENI,2020,4282.07,17.811795843914304
FENI,2021,4889.18,14.17795598857563
FENI,2022,5291.02,8.218965143439183
FENI,2023,3913.33,-26.03826861361326
FENI,2024,2007.01,-48.71349975596231
FENI Total,2018,27123.59,
FENI Total,2019,30325.620000000003,11.805332553692205
FENI Total,2020,35431.97,16.838402644364734
FENI Total,2021,40008.4,12.916103733436213
FENI Total,2022,43352.39,8.358219773847498
FENI Total,2023,31525.54,-27.28073354202617
FENI Total,2024,16002.68,-49.238997967996745
GAIBANDAH,2018,166.66,
GAIBANDAH,2019,187.51000000000002,12.510500420016823
GAIBANDAH,2020,183.09,-2.357207615593848
GAIBANDAH,2021,238.22,30.110874433338797
GAIBANDAH,2022,269.64,13.189488707917052
GAIBANDAH,2023,195.16,-27.622014537902384
GAIBANDAH,2024,92.96,-52.36728837876614
GAIBANDAH Total,2018,6575.950000000001,
GAIBANDAH Total,2019,7536.5,14.607014956013952
GAIBANDAH Total,2020,8327.99,10.502089829496452
GAIBANDAH Total,2021,9246.310000000001,11.026910454983764
GAIBANDAH Total,2022,9906.050000000001,7.13517067889784
GAIBANDAH Total,2023,7178.48,-27.53438555226353
GAIBANDAH Total,2024,3728.56,-48.05919916193957
GAZIPUR,2018,2738.07,
GAZIPUR,2019,3023.24,10.415000346959701
GAZIPUR,2020,3452.6800000000003,14.204628147285714
GAZIPUR,2021,3290.01,-4.711412583847907
GAZIPUR,2022,3380.7299999999996,2.757438427238812
GAZIPUR,2023,2562.46,-24.203944118577926
GAZIPUR,2024,1298.75,-49.316282010255776
GAZIPUR Total,2018,57688.600000000006,
GAZIPUR Total,2019,64720.770000000004,12.189878069497272
GAZIPUR Total,2020,71979.97,11.21618299658671
GAZIPUR Total,2021,83342.61,15.785835976313955
GAZIPUR Total,2022,89941.55,7.9178465853181335
GAZIPUR Total,2023,62925.03,-30.037863479115046
GAZIPUR Total,2024,32293.5,-48.679404682047824
GOPALGANJ,2018,4535.09,
GOPALGANJ,2019,4977.8099999999995,9.762099539369661
GOPALGANJ,2020,5847.22,17.465712833555337
GOPALGANJ,2021,6310.75,7.927356932012142
GOPALGANJ,2022,6713.469999999999,6.381491898744196
GOPALGANJ,2023,4986.59,-25.722614385705146
GOPALGANJ,2024,2621.03,-47.43842986890841
GOPALGANJ Total,2018,8664.58,
GOPALGANJ Total,2019,9601.48,10.812988050199767
GOPALGANJ Total,2020,11084.970000000001,15.450638859842458
GOPALGANJ Total,2021,12129.92,9.426728263585726
GOPALGANJ Total,2022,13081.23,7.842673323484406
GOPALGANJ Total,2023,9700.71,-25.842523982836486
GOPALGANJ Total,2024,5048.37,-47.958757657944616
Grand Total,2018,3158222.0300000003,
Grand Total,2019,3513575.8899999997,11.251706074635903
Grand Total,2020,3955947.41,12.59035051040267
Grand Total,2021,4415123.96,11.607246062960176
Grand Total,2022,4738204.55,7.317588201985603
Grand Total,2023,3462267.1100000003,-26.928711636140733
Grand Total,2024,1762303.02,-49.0997382925779
HABIGANJ,2018,306.28,
HABIGANJ,2019,341.91,11.633146140786232
HABIGANJ,2020,393.92,15.21160539323214
HABIGANJ,2021,451.73,14.675568643379355
HABIGANJ,2022,505.19000000000005,11.834502911030942
HABIGANJ,2023,363.09000000000003,-28.12803103782735
HABIGANJ,2024,179.5,-50.56322123991297
HABIGANJ Total,2018,11946.03,
HABIGANJ Total,2019,13159.08,10.154419501708922
HABIGANJ Total,2020,15111.119999999999,14.834167738170144
HABIGANJ Total,2021,17857.36,18.1736363684492
HABIGANJ Total,2022,19772.83,10.726501565740975
HABIGANJ Total,2023,14992.9,-24.17423302582383
HABIGANJ Total,2024,7733.6,-48.418251305617986
JAMALPUR,2018,552.8399999999999,
JAMALPUR,2019,561.68,1.5990159901599021
JAMALPUR,2020,621.3199999999999,10.618145563310065
JAMALPUR,2021,695.88,12.00025751625573
JAMALPUR,2022,792.45,13.877392653905861
JAMALPUR,2023,624.85,-21.14959934380718
JAMALPUR,2024,326.57,-47.73625670160839
JAMALPUR Total,2018,10028.220000000001,
JAMALPUR Total,2019,10860.61,8.300476056568362
JAMALPUR Total,2020,12394.720000000001,14.125449675478642
JAMALPUR Total,2021,14247.23,14.945960860753594
JAMALPUR Total,2022,15681.689999999999,10.068343109502687
JAMALPUR Total,2023,12388.8,-20.998310768801066
JAMALPUR Total,2024,6458.25,-47.870253777605576
JASHORE,2018,2643.31,
JASHORE,2019,2777.25,5.06713174012885
JASHORE,2020,3384.6000000000004,21.868755063462064
JASHORE,2021,3675.88,8.606039118359622
JASHORE,2022,3752.81,2.0928321925633986
JASHORE,2023,2923.23,-22.105568893708984
JASHORE,2024,1934.53,-33.822176154459285
JASHORE Total,2018,26495.22,
JASHORE Total,2019,28891.909999999996,9.045744855109694
JASHORE Total,2020,33053.44,14.403789849823045
JASHORE Total,2021,36184.89,9.473900447275675
JASHORE Total,2022,37920.770000000004,4.797251007257453
JASHORE Total,2023,27330.22,-27.92809850643856
JASHORE Total,2024,14431.28,-47.19661971253799
JAYPURHAT,2018,518.02,
JAYPURHAT,2019,559.1,7.93019574533802
JAYPURHAT,2020,653.0,16.794848864246113
JAYPURHAT,2021,747.08,14.407350689127107
JAYPURHAT,2022,789.64,5.6968463886063025
JAYPURHAT,2023,565.05,-28.44207486956082
JAYPURHAT,2024,292.8,-48.181576851606046
JAYPURHAT Total,2018,4499.44,
JAYPURHAT Total,2019,4855.5,7.913429226748225
JAYPURHAT Total,2020,5584.24,15.008547008547012
JAYPURHAT Total,2021,6472.92,15.914072461069019
JAYPURHAT Total,2022,6622.78,2.315183873738591
JAYPURHAT Total,2023,4870.61,-26.456714551895132
JAYPURHAT Total,2024,2598.86,-46.64200172052371
JHALOKATHI,2018,2915.7,
JHALOKATHI,2019,3230.8900000000003,10.810097060740143
JHALOKATHI,2020,3742.9,15.847336182909345
JHALOKATHI,2021,4089.53,9.261000828234799
JHALOKATHI,2022,4340.900000000001,6.146672111465135
JHALOKATHI,2023,3301.9700000000003,-23.93351609113318
JHALOKATHI,2024,1780.83,-46.067650523778234
JHALOKATHI Total,2018,4653.4,
JHALOKATHI Total,2019,5102.05,9.641337516654502
JHALOKATHI Total,2020,5826.83,14.205662429807631
JHALOKATHI Total,2021,6391.46,9.690174588927425
JHALOKATHI Total,2022,7502.69,17.386168418483415
JHALOKATHI Total,2023,5196.610000000001,-30.736709100336
JHALOKATHI Total,2024,2744.59,-47.18499175423979
JHENAIDAH,2018,323.03,
JHENAIDAH,2019,332.38,2.894468006067563
JHENAIDAH,2020,381.21000000000004,14.691016306636984
JHENAIDAH,2021,416.71000000000004,9.312452454027964
JHENAIDAH,2022,446.6,7.172854023181596
JHENAIDAH,2023,327.25,-26.724137931034488
JHENAIDAH,2024,168.57,-48.488922841864024
JHENAIDAH Total,2018,9140.48,
JHENAIDAH Total,2019,10376.36,13.520952947766428
JHENAIDAH Total,2020,12050.36,16.132824998361663
JHENAIDAH Total,2021,12651.21,4.986158089882786
JHENAIDAH Total,2022,13699.44,8.285610625386841
JHENAIDAH Total,2023,9893.259999999998,-27.783471441168416
JHENAIDAH Total,2024,5123.96,-48.207567576309515
KHAGRACHARI,2018,190.78,
KHAGRACHARI,2019,197.11,3.317957857217735
KHAGRACHARI,2020,209.34,6.2046572979554515
KHAGRACHARI,2021,222.76,6.41062386548199
KHAGRACHARI,2022,237.60999999999996,6.666367390913974
KHAGRACHARI,2023,158.57,-33.264593241025196
KHAGRACHARI,2024,81.71,-48.4707069433058
KHAGRACHARI Total,2018,2360.3599999999997,
KHAGRACHARI Total,2019,2499.43,5.891897846091276
KHAGRACHARI Total,2020,2904.7700000000004,16.217297543840026
KHAGRACHARI Total,2021,3452.62,18.86035727441413
KHAGRACHARI Total,2022,3675.49,6.455097867706261
KHAGRACHARI Total,2023,2630.8,-28.423149022307225
KHAGRACHARI Total,2024,1317.77,-49.90991333434697
KHULNA,2018,586.4200000000001,
KHULNA,2019,634.65,8.224480747587037
KHULNA,2020,637.34,0.42385566847868983
KHULNA,2021,791.2,24.140960868610172
KHULNA,2022,910.0799999999999,15.025278058645085
KHULNA,2023,640.8399999999999,-29.584212376933895
KHULNA,2024,335.36,-47.66868485113288
KHULNA Total,2018,41603.509999999995,
KHULNA Total,2019,47295.92,13.682523421701687
KHULNA Total,2020,53017.7,12.09783000309541
KHULNA Total,2021,57612.979999999996,8.667445023077192
KHULNA Total,2022,63505.5,10.22776464609192
KHULNA Total,2023,45404.270000000004,-28.50340521687097
KHULNA Total,2024,22722.11,-49.95600634037284
KISHOREGANJ,2018,245.93,
KISHOREGANJ,2019,258.9,5.273858414996124
KISHOREGANJ,2020,294.33000000000004,13.68482039397454
KISHOREGANJ,2021,327.39,11.232290286413193
KISHOREGANJ,2022,372.35,13.732856837411056
KISHOREGANJ,2023,269.68,-27.573519538069025
KISHOREGANJ,2024,132.23,-50.967813705132016
KISHOREGANJ Total,2018,15215.29,
KISHOREGANJ Total,2019,17587.3,15.589646993254803
KISHOREGANJ Total,2020,20536.300000000003,16.767781296731176
KISHOREGANJ Total,2021,23427.54,14.078680190686722
KISHOREGANJ Total,2022,26512.359999999997,13.167494325055017
KISHOREGANJ Total,2023,19092.35,-27.986984183980603
KISHOREGANJ Total,2024,9776.35,-48.79441242172911
KURIGRAM,2018,462.87,
KURIGRAM,2019,506.09999999999997,9.339555382720842
KURIGRAM,2020,569.27,12.481722979648291
KURIGRAM,2021,698.74,22.743162295571516
KURIGRAM,2022,888.68,27.18321550218965
KURIGRAM,2023,637.45,-28.270018454336764
KURIGRAM,2024,320.92,-49.655659267393524
KURIGRAM Total,2018,4428.360000000001,
KURIGRAM Total,2019,5053.9400000000005,14.126674434779463
KURIGRAM Total,2020,5707.47,12.931099300743565
KURIGRAM Total,2021,6535.76,14.512384646787456
KURIGRAM Total,2022,7159.900000000001,9.549616264979143
KURIGRAM Total,2023,5169.91,-27.793544602578258
KURIGRAM Total,2024,2555.84,-50.56316260824656
KUSHTIA,2018,1174.29,
KUSHTIA,2019,1372.3799999999999,16.86891653680096
KUSHTIA,2020,1607.0500000000002,17.099491394511745
KUSHTIA,2021,2096.8,30.475094116548963
KUSHTIA,2022,2207.08,5.259442960701999
KUSHTIA,2023,1647.31,-25.362469869692085
KUSHTIA,2024,834.99,-49.311908505381496
KUSHTIA Total,2018,14800.9,
KUSHTIA Total,2019,16844.910000000003,13.810038578735107
KUSHTIA Total,2020,19594.14,16.320835195913762
KUSHTIA Total,2021,22374.26,14.188527794534478
KUSHTIA Total,2022,24295.52,8.586920863528015
KUSHTIA Total,2023,16963.95,-30.176633387554574
KUSHTIA Total,2024,8712.37,-48.64185522829294
LAKSHMIPUR,2018,1974.2800000000002,
LAKSHMIPUR,2019,2297.2400000000002,16.358368620459096
LAKSHMIPUR,2020,2841.1000000000004,23.674496352144313
LAKSHMIPUR,2021,3433.4399999999996,20.848966949420976
LAKSHMIPUR,2022,3822.8199999999997,11.340812712614756
LAKSHMIPUR,2023,2848.3900000000003,-25.489821649986123
LAKSHMIPUR,2024,1438.21,-49.507967658923114
LAKSHMIPUR Total,2018,16711.17,
LAKSHMIPUR Total,2019,18886.02,13.014349085073063
LAKSHMIPUR Total,2020,22191.36,17.501516995110666
LAKSHMIPUR Total,2021,24846.77,11.965963329872519
LAKSHMIPUR Total,2022,26431.71,6.378857292114826
LAKSHMIPUR Total,2023,18806.08,-28.850308966010896
LAKSHMIPUR Total,2024,9496.67,-49.50212909867447
LALMONIRHAT,2018,244.31,
LALMONIRHAT,2019,254.01000000000002,3.9703655192173892
LALMONIRHAT,2020,271.99,7.078461477894571
LALMONIRHAT,2021,312.41999999999996,14.864517077833717
LALMONIRHAT,2022,348.69,11.609371999231822
LALMONIRHAT,2023,251.98000000000002,-27.735237603602048
LALMONIRHAT,2024,116.83,-53.63520914358283
LALMONIRHAT Total,2018,2840.65,
LALMONIRHAT Total,2019,3107.3099999999995,9.387288120676573
LALMONIRHAT Total,2020,3519.0199999999995,13.249724037833378
LALMONIRHAT Total,2021,3979.6400000000003,13.089439673545499
LALMONIRHAT Total,2022,4491.400000000001,12.85945462403635
LALMONIRHAT Total,2023,3241.45,-27.8298526072049
LALMONIRHAT Total,2024,1640.64,-49.385614462663305
MADARIPUR,2018,914.1400000000001,
MADARIPUR,2019,1026.15,12.253046579298577
MADARIPUR,2020,1207.77,17.6991667884812
MADARIPUR,2021,1473.28,21.983490234067737
MADARIPUR,2022,1609.35,9.23585469157253
MADARIPUR,2023,1160.19,-27.90940441793269
MADARIPUR,2024,588.84,-49.246244149665145
MADARIPUR Total,2018,12544.09,
MADARIPUR Total,2019,14166.25,12.93166742266676
MADARIPUR Total,2020,17133.850000000002,20.94838083473045
MADARIPUR Total,2021,17503.190000000002,2.155615929869814
MADARIPUR Total,2022,19364.11,10.631890529669153
MADARIPUR Total,2023,14124.970000000001,-27.055929758713415
MADARIPUR Total,2024,7217.64,-48.901555189143764
MAGURA,2018,3128.94,
MAGURA,2019,3513.7300000000005,12.297774965323738
MAGURA,2020,4108.51,16.92731086338448
MAGURA,2021,4666.18,13.57353395756613
MAGURA,2022,4833.780000000001,3.591803145185146
MAGURA,2023,3580.65,-25.92443181112919
MAGURA,2024,1829.29,-48.91178975884267
MAGURA Total,2018,4670.42,
MAGURA Total,2019,5175.7,10.818727223675806
MAGURA Total,2020,5944.39,14.851904090267997
MAGURA Total,2021,6745.93,13.483973965369023
MAGURA Total,2022,7155.79,6.075663400005626
MAGURA Total,2023,5308.76,-25.811685362482685
MAGURA Total,2024,2707.27,-49.00372214980523
MANIKGANJ,2018,336.58000000000004,
MANIKGANJ,2019,371.28000000000003,10.309584645552317
MANIKGANJ,2020,420.61,13.286468433527254
MANIKGANJ,2021,462.94000000000005,10.063954732412462
MANIKGANJ,2022,538.75,16.375772238303
MANIKGANJ,2023,417.53,-22.500232018561494
MANIKGANJ,2024,210.24,-49.64673197135535
MANIKGANJ Total,2018,12812.79,
MANIKGANJ Total,2019,13964.32,8.98734779856689
MANIKGANJ Total,2020,15916.560000000001,13.98020096932755
MANIKGANJ Total,2021,17768.34,11.63429786335739
MANIKGANJ Total,2022,19461.1,9.52683255723381
MANIKGANJ Total,2023,14297.439999999999,-26.533238100621237
MANIKGANJ Total,2024,7263.75,-49.19545037433274
MEHERPUR,2018,843.37,
MEHERPUR,2019,930.1400000000001,10.288485480868426
MEHERPUR,2020,1105.43,18.84555013223814
MEHERPUR,2021,1244.3400000000001,12.56615072867573
MEHERPUR,2022,1751.45,40.753331083144474
MEHERPUR,2023,923.8,-47.2551314625025
MEHERPUR,2024,472.99,-48.79952370642996
MEHERPUR Total,2018,3020.0,
MEHERPUR Total,2019,3302.8,9.364238410596037
MEHERPUR Total,2020,3973.91,20.31942594162528
MEHERPUR Total,2021,4462.81,12.302744651992636
MEHERPUR Total,2022,5375.23,20.444966288056165
MEHERPUR Total,2023,3305.2799999999997,-38.50904984530894
MEHERPUR Total,2024,1686.17,-48.98556249394906
MOULVIBAZAR,2018,2743.9,
MOULVIBAZAR,2019,2975.92,8.4558475163089
MOULVIBAZAR,2020,3366.59,13.12770504583456
MOULVIBAZAR,2021,3721.23,10.534101271613117
MOULVIBAZAR,2022,4233.05,13.754054438989272
MOULVIBAZAR,2023,3029.0,-28.444029718524465
MOULVIBAZAR,2024,1535.17,-49.317596566523605
MOULVIBAZAR Total,2018,24105.28,
MOULVIBAZAR Total,2019,25851.87,7.245673976821676
MOULVIBAZAR Total,2020,29259.469999999994,13.181251491671574
MOULVIBAZAR Total,2021,32344.590000000004,10.544005069128094
MOULVIBAZAR Total,2022,35874.869999999995,10.914591899294424
MOULVIBAZAR Total,2023,26693.61,-25.59245510854812
MOULVIBAZAR Total,2024,13670.88,-48.78594540041606
MUNSHIGANJ,2018,1444.25,
MUNSHIGANJ,2019,1692.97,17.221395187813737
MUNSHIGANJ,2020,1874.88,10.745022061820354
MUNSHIGANJ,2021,2181.6800000000003,16.363713944359116
MUNSHIGANJ,2022,2494.83,14.35361739576837
MUNSHIGANJ,2023,1701.01,-31.818600866592107
MUNSHIGANJ,2024,857.08,-49.61346494141715
MUNSHIGANJ Total,2018,20678.37,
MUNSHIGANJ Total,2019,23234.54,12.361564281904247
MUNSHIGANJ Total,2020,26945.91,15.973503241295074
MUNSHIGANJ Total,2021,30842.67,14.461415480122941
MUNSHIGANJ Total,2022,33295.94,7.954142750935644
