,mean,mean_se,mean_ci_lower,mean_ci_upper
2023-07-01,5346325.085354252,132371.0789365166,5086882.53804397,5605767.632664533
2023-10-01,5445132.474194546,188989.60528791102,5074719.6543778,5815545.294011292
2024-01-01,5543818.9945572,233634.84140266178,5085903.119874256,6001734.869240144
2024-04-01,5642384.79429744,272262.6267874235,5108759.851457819,6176009.737137061
2024-07-01,5740830.021089626,307152.2341430464,5138822.704398241,6342837.33778101
2024-10-01,5839154.82242747,339458.7374500442,5173827.922787946,6504481.722066995
2025-01-01,5937359.345624262,369860.0783385316,5212446.9127615765,6662271.778486947
2025-04-01,6035443.737813083,398792.6055280943,5253824.59367713,6817062.881949037
