year,deposits,growth_rate_%
2018,9474666.330000004,
2019,10540727.539999988,11.251701884471355
2020,11867842.379999984,12.590353322044013
2021,13245371.870000003,11.60724456807305
2022,14214613.760000017,7.317589113487188
2023,10386801.269999988,-26.928712623704975
2024,5286908.999999996,-49.09973857620555
