year,quarter,deposits
2018,Q1,4593.684313146233
2018,Q2,4601.941401179942
2018,Q3,4785.583746312684
2019,Q1,5043.502699115042
2019,Q2,5129.597035398233
2019,Q3,5373.69604719764
2020,Q1,5593.660132743364
2020,Q2,5808.096592920354
2020,Q3,6102.4355752212405
2021,Q1,6370.63402654868
2021,Q2,6472.956283185843
2021,Q3,6682.500206185564
2022,Q1,6953.563991163479
2022,Q2,6964.818983799702
2022,Q3,7016.247010309278
2023,Q1,7569.078924889544
2023,Q2,7728.124712812963
