district,thana,year,quarter,deposits
nan,SADARGHAT,2022,Q3,2067.58
nan,SADARGHAT,2023,Q1,2194.77
nan,SADARGHAT,2023,Q2,2227.27
nan,SADARGHAT,2024,,2147.69
nan,SANDWIP,2018,Q1,1173.72
nan,SANDWIP,2018,Q2,1177.86
nan,SANDWIP,2018,Q3,1215.26
nan,SANDWIP,2019,Q1,1243.45
nan,SANDWIP,2019,Q2,1280.05
nan,SANDWIP,2019,Q3,1333.45
nan,SANDWIP,2020,Q1,1364.03
nan,SANDWIP,2020,Q2,1439.24
nan,SANDWIP,2020,Q3,1505.82
nan,SANDWIP,2021,Q1,1540.36
nan,SANDWIP,2021,Q2,1571.3
nan,SANDWIP,2021,Q3,1610.52
nan,SANDWIP,2022,Q1,1642.17
nan,SANDWIP,2022,Q2,1681.55
nan,SANDWIP,2022,Q3,1678.09
nan,SANDWIP,2023,Q1,1758.15
nan,SANDWIP,2023,Q2,1806.47
nan,SANDWIP,2024,,1816.54
nan,SATKANIA,2018,Q1,1523.33
nan,SATKANIA,2018,Q2,1701.52
nan,SATKANIA,2018,Q3,1651.99
nan,SATKANIA,2019,Q1,1589.43
nan,SATKANIA,2019,Q2,1653.13
nan,SATKANIA,2019,Q3,1705.91
nan,SATKANIA,2020,Q1,1727.71
nan,SATKANIA,2020,Q2,1865.54
nan,SATKANIA,2020,Q3,1868.45
nan,SATKANIA,2021,Q1,1945.98
nan,SATKANIA,2021,Q2,2101.67
nan,SATKANIA,2021,Q3,2110.83
nan,SATKANIA,2022,Q1,2168.13
nan,SATKANIA,2022,Q2,2175.29
nan,SATKANIA,2022,Q3,2118.6
nan,SATKANIA,2023,Q1,2338.84
nan,SATKANIA,2023,Q2,2411.7
nan,SATKANIA,2024,,2274.6
nan,SITAKUNDA,2018,Q1,2655.62
nan,SITAKUNDA,2018,Q2,2639.04
nan,SITAKUNDA,2018,Q3,2751.25
nan,SITAKUNDA,2019,Q1,2803.77
nan,SITAKUNDA,2019,Q2,2872.38
nan,SITAKUNDA,2019,Q3,2973.7
nan,SITAKUNDA,2020,Q1,3114.01
nan,SITAKUNDA,2020,Q2,3234.51
nan,SITAKUNDA,2020,Q3,3452.45
nan,SITAKUNDA,2021,Q1,3571.33
nan,SITAKUNDA,2021,Q2,3574.23
nan,SITAKUNDA,2021,Q3,3755.94
nan,SITAKUNDA,2022,Q1,3867.17
nan,SITAKUNDA,2022,Q2,3715.23
nan,SITAKUNDA,2022,Q3,3740.12
nan,SITAKUNDA,2023,Q1,3846.25
nan,SITAKUNDA,2023,Q2,3963.87
nan,SITAKUNDA,2024,,3918.1
CHUADANGA Total,nan,2018,Q1,2044.52
CHUADANGA Total,nan,2018,Q2,1985.11
CHUADANGA Total,nan,2018,Q3,2049.45
CHUADANGA Total,nan,2019,Q1,2226.77
CHUADANGA Total,nan,2019,Q2,2240.23
CHUADANGA Total,nan,2019,Q3,2412.91
CHUADANGA Total,nan,2020,Q1,2524.86
CHUADANGA Total,nan,2020,Q2,2694.33
CHUADANGA Total,nan,2020,Q3,2782.84
CHUADANGA Total,nan,2021,Q1,2794.59
CHUADANGA Total,nan,2021,Q2,3046.99
CHUADANGA Total,nan,2021,Q3,2966.82
CHUADANGA Total,nan,2022,Q1,3671.68
CHUADANGA Total,nan,2022,Q2,3227.95
CHUADANGA Total,nan,2022,Q3,3213.87
CHUADANGA Total,nan,2023,Q1,3334.9
CHUADANGA Total,nan,2023,Q2,3564.26
CHUADANGA Total,nan,2024,,3592.15
CHUADANGA,ALAMDANGA,2018,Q1,398.6
CHUADANGA,ALAMDANGA,2018,Q2,397.73
CHUADANGA,ALAMDANGA,2018,Q3,395.2
CHUADANGA,ALAMDANGA,2019,Q1,433.07
CHUADANGA,ALAMDANGA,2019,Q2,448.44
CHUADANGA,ALAMDANGA,2019,Q3,463.52
CHUADANGA,ALAMDANGA,2020,Q1,499.42
CHUADANGA,ALAMDANGA,2020,Q2,529.41
CHUADANGA,ALAMDANGA,2020,Q3,555.61
CHUADANGA,ALAMDANGA,2021,Q1,573.65
CHUADANGA,ALAMDANGA,2021,Q2,618.46
CHUADANGA,ALAMDANGA,2021,Q3,617.11
CHUADANGA,ALAMDANGA,2022,Q1,656.83
CHUADANGA,ALAMDANGA,2022,Q2,671.64
CHUADANGA,ALAMDANGA,2022,Q3,649.51
CHUADANGA,ALAMDANGA,2023,Q1,685.43
CHUADANGA,ALAMDANGA,2023,Q2,720.82
CHUADANGA,ALAMDANGA,2024,,718.42
nan,CHUADANGA SADAR,2018,Q1,1043.6
nan,CHUADANGA SADAR,2018,Q2,992.56
nan,CHUADANGA SADAR,2018,Q3,1043.0
nan,CHUADANGA SADAR,2019,Q1,1138.15
nan,CHUADANGA SADAR,2019,Q2,1132.54
nan,CHUADANGA SADAR,2019,Q3,1219.95
nan,CHUADANGA SADAR,2020,Q1,1299.02
nan,CHUADANGA SADAR,2020,Q2,1375.73
nan,CHUADANGA SADAR,2020,Q3,1392.38
nan,CHUADANGA SADAR,2021,Q1,1408.4
nan,CHUADANGA SADAR,2021,Q2,1521.11
nan,CHUADANGA SADAR,2021,Q3,1496.06
nan,CHUADANGA SADAR,2022,Q1,2046.72
nan,CHUADANGA SADAR,2022,Q2,1511.63
nan,CHUADANGA SADAR,2022,Q3,1532.77
nan,CHUADANGA SADAR,2023,Q1,1559.51
nan,CHUADANGA SADAR,2023,Q2,1693.29
nan,CHUADANGA SADAR,2024,,1722.38
nan,DAMURHUDA,2018,Q1,326.32
nan,DAMURHUDA,2018,Q2,322.58
nan,DAMURHUDA,2018,Q3,333.38
nan,DAMURHUDA,2019,Q1,357.23
nan,DAMURHUDA,2019,Q2,348.98
nan,DAMURHUDA,2019,Q3,411.91
nan,DAMURHUDA,2020,Q1,387.26
nan,DAMURHUDA,2020,Q2,436.99
nan,DAMURHUDA,2020,Q3,454.19
nan,DAMURHUDA,2021,Q1,420.9
nan,DAMURHUDA,2021,Q2,507.66
nan,DAMURHUDA,2021,Q3,484.97
nan,DAMURHUDA,2022,Q1,545.88
nan,DAMURHUDA,2022,Q2,609.57
nan,DAMURHUDA,2022,Q3,611.18
nan,DAMURHUDA,2023,Q1,630.21
nan,DAMURHUDA,2023,Q2,656.74
nan,DAMURHUDA,2024,,649.33
nan,DARSHANA,2021,Q3,0.05
nan,DARSHANA,2022,Q1,5.07
nan,DARSHANA,2022,Q2,7.33
nan,DARSHANA,2022,Q3,15.87
nan,DARSHANA,2023,Q1,24.86
nan,DARSHANA,2023,Q2,31.77
nan,DARSHANA,2024,,33.3
nan,JIBAN NAGAR,2018,Q1,276.0
nan,JIBAN NAGAR,2018,Q2,272.24
nan,JIBAN NAGAR,2018,Q3,277.87
nan,JIBAN NAGAR,2019,Q1,298.32
nan,JIBAN NAGAR,2019,Q2,310.27
nan,JIBAN NAGAR,2019,Q3,317.53
nan,JIBAN NAGAR,2020,Q1,339.15
nan,JIBAN NAGAR,2020,Q2,352.19
nan,JIBAN NAGAR,2020,Q3,380.65
nan,JIBAN NAGAR,2021,Q1,391.63
nan,JIBAN NAGAR,2021,Q2,399.77
nan,JIBAN NAGAR,2021,Q3,368.63
nan,JIBAN NAGAR,2022,Q1,417.19
nan,JIBAN NAGAR,2022,Q2,427.78
nan,JIBAN NAGAR,2022,Q3,404.54
nan,JIBAN NAGAR,2023,Q1,434.89
nan,JIBAN NAGAR,2023,Q2,461.63
nan,JIBAN NAGAR,2024,,468.73
COX'S BAZAR Total,nan,2018,Q1,7568.74
COX'S BAZAR Total,nan,2018,Q2,7615.47
COX'S BAZAR Total,nan,2018,Q3,8712.62
COX'S BAZAR Total,nan,2019,Q1,9371.69
COX'S BAZAR Total,nan,2019,Q2,9349.37
COX'S BAZAR Total,nan,2019,Q3,9746.29
COX'S BAZAR Total,nan,2020,Q1,10238.68
COX'S BAZAR Total,nan,2020,Q2,10582.21
COX'S BAZAR Total,nan,2020,Q3,11322.72
COX'S BAZAR Total,nan,2021,Q1,11354.46
COX'S BAZAR Total,nan,2021,Q2,11994.65
COX'S BAZAR Total,nan,2021,Q3,12239.52
COX'S BAZAR Total,nan,2022,Q1,11571.54
COX'S BAZAR Total,nan,2022,Q2,11488.39
COX'S BAZAR Total,nan,2022,Q3,11262.99
COX'S BAZAR Total,nan,2023,Q1,12095.15
COX'S BAZAR Total,nan,2023,Q2,12320.15
COX'S BAZAR Total,nan,2024,,12142.79
COX'S BAZAR,CHAKARIA,2018,Q1,1296.24
COX'S BAZAR,CHAKARIA,2018,Q2,1317.58
COX'S BAZAR,CHAKARIA,2018,Q3,1320.93
COX'S BAZAR,CHAKARIA,2019,Q1,1478.31
COX'S BAZAR,CHAKARIA,2019,Q2,1505.99
COX'S BAZAR,CHAKARIA,2019,Q3,1554.53
COX'S BAZAR,CHAKARIA,2020,Q1,1597.44
COX'S BAZAR,CHAKARIA,2020,Q2,1699.23
COX'S BAZAR,CHAKARIA,2020,Q3,1755.47
COX'S BAZAR,CHAKARIA,2021,Q1,1813.83
COX'S BAZAR,CHAKARIA,2021,Q2,1872.85
COX'S BAZAR,CHAKARIA,2021,Q3,1901.93
COX'S BAZAR,CHAKARIA,2022,Q1,1976.71
COX'S BAZAR,CHAKARIA,2022,Q2,2024.63
COX'S BAZAR,CHAKARIA,2022,Q3,1919.78
COX'S BAZAR,CHAKARIA,2023,Q1,2083.09
COX'S BAZAR,CHAKARIA,2023,Q2,2096.34
COX'S BAZAR,CHAKARIA,2024,,2134.21
nan,COX'S BAZAR SADAR,2018,Q1,3587.88
nan,COX'S BAZAR SADAR,2018,Q2,3474.36
nan,COX'S BAZAR SADAR,2018,Q3,4499.39
nan,COX'S BAZAR SADAR,2019,Q1,4792.21
nan,COX'S BAZAR SADAR,2019,Q2,4645.51
nan,COX'S BAZAR SADAR,2019,Q3,4858.17
nan,COX'S BAZAR SADAR,2020,Q1,5068.31
nan,COX'S BAZAR SADAR,2020,Q2,5164.62
nan,COX'S BAZAR SADAR,2020,Q3,5644.14
nan,COX'S BAZAR SADAR,2021,Q1,5595.01
nan,COX'S BAZAR SADAR,2021,Q2,5576.06
nan,COX'S BAZAR SADAR,2021,Q3,5700.1
nan,COX'S BAZAR SADAR,2022,Q1,5201.92
nan,COX'S BAZAR SADAR,2022,Q2,5073.84
nan,COX'S BAZAR SADAR,2022,Q3,5086.37
nan,COX'S BAZAR SADAR,2023,Q1,5285.15
nan,COX'S BAZAR SADAR,2023,Q2,5353.51
nan,COX'S BAZAR SADAR,2024,,5352.87
nan,EIDGAON,2018,Q1,608.35
nan,EIDGAON,2018,Q2,657.79
nan,EIDGAON,2018,Q3,666.6
nan,EIDGAON,2019,Q1,723.55
nan,EIDGAON,2019,Q2,744.84
nan,EIDGAON,2019,Q3,786.16
nan,EIDGAON,2020,Q1,874.42
nan,EIDGAON,2020,Q2,838.14
nan,EIDGAON,2020,Q3,891.89
nan,EIDGAON,2021,Q1,907.72
nan,EIDGAON,2021,Q2,927.09
nan,EIDGAON,2021,Q3,971.34
nan,EIDGAON,2022,Q1,991.39
nan,EIDGAON,2022,Q2,1015.61
nan,EIDGAON,2022,Q3,955.52
nan,EIDGAON,2023,Q1,1042.41
nan,EIDGAON,2023,Q2,1050.07
nan,EIDGAON,2024,,978.47
nan,KUTUBDIA,2018,Q1,93.78
nan,KUTUBDIA,2018,Q2,103.51
nan,KUTUBDIA,2018,Q3,105.65
nan,KUTUBDIA,2019,Q1,105.93
nan,KUTUBDIA,2019,Q2,108.31
nan,KUTUBDIA,2019,Q3,111.48
nan,KUTUBDIA,2020,Q1,121.49
nan,KUTUBDIA,2020,Q2,119.37
nan,KUTUBDIA,2020,Q3,118.47
nan,KUTUBDIA,2021,Q1,122.86
nan,KUTUBDIA,2021,Q2,122.35
nan,KUTUBDIA,2021,Q3,125.97
nan,KUTUBDIA,2022,Q1,135.42
nan,KUTUBDIA,2022,Q2,144.62
nan,KUTUBDIA,2022,Q3,140.66
nan,KUTUBDIA,2023,Q1,151.25
nan,KUTUBDIA,2023,Q2,152.75
nan,KUTUBDIA,2024,,151.82
nan,MAHESKHALI,2018,Q1,243.22
nan,MAHESKHALI,2018,Q2,247.99
nan,MAHESKHALI,2018,Q3,256.56
nan,MAHESKHALI,2019,Q1,295.9
nan,MAHESKHALI,2019,Q2,314.36
nan,MAHESKHALI,2019,Q3,326.64
nan,MAHESKHALI,2020,Q1,352.09
nan,MAHESKHALI,2020,Q2,367.26
nan,MAHESKHALI,2020,Q3,393.05
nan,MAHESKHALI,2021,Q1,383.99
nan,MAHESKHALI,2021,Q2,438.69
nan,MAHESKHALI,2021,Q3,429.3
nan,MAHESKHALI,2022,Q1,524.11
nan,MAHESKHALI,2022,Q2,479.77
nan,MAHESKHALI,2022,Q3,503.19
nan,MAHESKHALI,2023,Q1,595.42
nan,MAHESKHALI,2023,Q2,614.92
nan,MAHESKHALI,2024,,591.79
nan,PEKUA,2018,Q1,150.15
nan,PEKUA,2018,Q2,163.31
nan,PEKUA,2018,Q3,164.29
nan,PEKUA,2019,Q1,184.58
nan,PEKUA,2019,Q2,209.05
nan,PEKUA,2019,Q3,229.62
nan,PEKUA,2020,Q1,248.56
nan,PEKUA,2020,Q2,277.78
nan,PEKUA,2020,Q3,298.15
nan,PEKUA,2021,Q1,310.91
nan,PEKUA,2021,Q2,324.16
nan,PEKUA,2021,Q3,344.33
nan,PEKUA,2022,Q1,364.68
nan,PEKUA,2022,Q2,381.73
nan,PEKUA,2022,Q3,354.78
nan,PEKUA,2023,Q1,392.38
nan,PEKUA,2023,Q2,414.97
nan,PEKUA,2024,,406.55
nan,RAMU,2018,Q1,430.5
nan,RAMU,2018,Q2,442.18
nan,RAMU,2018,Q3,433.83
nan,RAMU,2019,Q1,456.2
nan,RAMU,2019,Q2,484.74
nan,RAMU,2019,Q3,490.15
nan,RAMU,2020,Q1,540.62
nan,RAMU,2020,Q2,627.83
nan,RAMU,2020,Q3,655.84
nan,RAMU,2021,Q1,639.55
nan,RAMU,2021,Q2,633.57
nan,RAMU,2021,Q3,611.81
nan,RAMU,2022,Q1,668.15
nan,RAMU,2022,Q2,691.02
nan,RAMU,2022,Q3,666.59
nan,RAMU,2023,Q1,730.18
nan,RAMU,2023,Q2,756.87
nan,RAMU,2024,,720.02
nan,TEKNAF,2018,Q1,709.37
nan,TEKNAF,2018,Q2,724.46
nan,TEKNAF,2018,Q3,741.13
nan,TEKNAF,2019,Q1,778.78
nan,TEKNAF,2019,Q2,762.83
nan,TEKNAF,2019,Q3,789.14
nan,TEKNAF,2020,Q1,791.23
nan,TEKNAF,2020,Q2,823.61
nan,TEKNAF,2020,Q3,859.0
nan,TEKNAF,2021,Q1,862.25
nan,TEKNAF,2021,Q2,868.1
nan,TEKNAF,2021,Q3,887.26
nan,TEKNAF,2022,Q1,870.53
nan,TEKNAF,2022,Q2,888.29
nan,TEKNAF,2022,Q3,847.93
nan,TEKNAF,2023,Q1,942.91
nan,TEKNAF,2023,Q2,987.1
nan,TEKNAF,2024,,926.12
nan,UKHIA,2018,Q1,449.25
nan,UKHIA,2018,Q2,484.3
nan,UKHIA,2018,Q3,524.26
nan,UKHIA,2019,Q1,556.23
nan,UKHIA,2019,Q2,573.74
nan,UKHIA,2019,Q3,600.4
nan,UKHIA,2020,Q1,644.53
nan,UKHIA,2020,Q2,664.39
nan,UKHIA,2020,Q3,706.71
nan,UKHIA,2021,Q1,718.34
nan,UKHIA,2021,Q2,1231.78
nan,UKHIA,2021,Q3,1267.48
nan,UKHIA,2022,Q1,838.62
nan,UKHIA,2022,Q2,788.87
nan,UKHIA,2022,Q3,788.18
nan,UKHIA,2023,Q1,872.36
nan,UKHIA,2023,Q2,893.63
nan,UKHIA,2024,,880.95
CUMILLA Total,nan,2018,Q1,21558.79
CUMILLA Total,nan,2018,Q2,22116.16
CUMILLA Total,nan,2018,Q3,22815.55
CUMILLA Total,nan,2019,Q1,24228.61
CUMILLA Total,nan,2019,Q2,24967.13
CUMILLA Total,nan,2019,Q3,26135.44
CUMILLA Total,nan,2020,Q1,27089.67
CUMILLA Total,nan,2020,Q2,29195.69
CUMILLA Total,nan,2020,Q3,30663.9
CUMILLA Total,nan,2021,Q1,31688.23
CUMILLA Total,nan,2021,Q2,33037.52
CUMILLA Total,nan,2021,Q3,34657.75
CUMILLA Total,nan,2022,Q1,36559.83
CUMILLA Total,nan,2022,Q2,35938.5
CUMILLA Total,nan,2022,Q3,34445.41
CUMILLA Total,nan,2023,Q1,38410.76
CUMILLA Total,nan,2023,Q2,39541.86
CUMILLA Total,nan,2024,,40044.18
CUMILLA,BANGORA,2018,Q1,86.56
CUMILLA,BANGORA,2018,Q2,88.63
CUMILLA,BANGORA,2018,Q3,95.07
CUMILLA,BANGORA,2019,Q1,98.48
CUMILLA,BANGORA,2019,Q2,97.45
CUMILLA,BANGORA,2019,Q3,108.04
CUMILLA,BANGORA,2020,Q1,105.47
CUMILLA,BANGORA,2020,Q2,115.74
CUMILLA,BANGORA,2020,Q3,126.42
CUMILLA,BANGORA,2021,Q1,135.15
CUMILLA,BANGORA,2021,Q2,136.36
CUMILLA,BANGORA,2021,Q3,146.64
CUMILLA,BANGORA,2022,Q1,151.51
CUMILLA,BANGORA,2022,Q2,153.31
CUMILLA,BANGORA,2022,Q3,135.82
CUMILLA,BANGORA,2023,Q1,166.65
CUMILLA,BANGORA,2023,Q2,173.41
CUMILLA,BANGORA,2024,,174.35
nan,BARURA,2018,Q1,850.06
nan,BARURA,2018,Q2,905.6
nan,BARURA,2018,Q3,938.59
nan,BARURA,2019,Q1,1023.64
nan,BARURA,2019,Q2,1078.93
nan,BARURA,2019,Q3,1147.0
nan,BARURA,2020,Q1,1183.52
nan,BARURA,2020,Q2,1282.28
nan,BARURA,2020,Q3,1424.36
nan,BARURA,2021,Q1,1412.9
nan,BARURA,2021,Q2,1443.16
nan,BARURA,2021,Q3,1508.06
nan,BARURA,2022,Q1,1557.22
nan,BARURA,2022,Q2,1571.17
nan,BARURA,2022,Q3,1492.18
nan,BARURA,2023,Q1,1709.51
nan,BARURA,2023,Q2,1742.0
nan,BARURA,2024,,1728.63
nan,BRAHMANPARA,2018,Q1,257.95
nan,BRAHMANPARA,2018,Q2,267.87
nan,BRAHMANPARA,2018,Q3,275.35
nan,BRAHMANPARA,2019,Q1,293.2
nan,BRAHMANPARA,2019,Q2,294.96
nan,BRAHMANPARA,2019,Q3,311.66
nan,BRAHMANPARA,2020,Q1,328.21
nan,BRAHMANPARA,2020,Q2,348.66
nan,BRAHMANPARA,2020,Q3,364.61
nan,BRAHMANPARA,2021,Q1,387.14
nan,BRAHMANPARA,2021,Q2,394.93
nan,BRAHMANPARA,2021,Q3,409.26
nan,BRAHMANPARA,2022,Q1,455.09
nan,BRAHMANPARA,2022,Q2,464.38
nan,BRAHMANPARA,2022,Q3,445.53
nan,BRAHMANPARA,2023,Q1,514.09
nan,BRAHMANPARA,2023,Q2,523.55
nan,BRAHMANPARA,2024,,530.84
nan,BURICHANG,2018,Q1,802.92
nan,BURICHANG,2018,Q2,851.62
nan,BURICHANG,2018,Q3,862.38
nan,BURICHANG,2019,Q1,903.95
nan,BURICHANG,2019,Q2,928.36
nan,BURICHANG,2019,Q3,996.75
nan,BURICHANG,2020,Q1,1020.54
nan,BURICHANG,2020,Q2,1110.82
nan,BURICHANG,2020,Q3,1190.97
nan,BURICHANG,2021,Q1,1226.4
nan,BURICHANG,2021,Q2,1279.75
nan,BURICHANG,2021,Q3,1328.19
nan,BURICHANG,2022,Q1,1392.2
nan,BURICHANG,2022,Q2,1414.1
nan,BURICHANG,2022,Q3,1354.87
nan,BURICHANG,2023,Q1,1534.16
nan,BURICHANG,2023,Q2,1580.6
nan,BURICHANG,2024,,1577.71
nan,CHANDINA,2018,Q1,1055.03
nan,CHANDINA,2018,Q2,1111.96
nan,CHANDINA,2018,Q3,1151.18
nan,CHANDINA,2019,Q1,1258.91
nan,CHANDINA,2019,Q2,1346.67
nan,CHANDINA,2019,Q3,1399.08
nan,CHANDINA,2020,Q1,1447.85
nan,CHANDINA,2020,Q2,1580.55
nan,CHANDINA,2020,Q3,1684.66
nan,CHANDINA,2021,Q1,1733.46
nan,CHANDINA,2021,Q2,1826.22
nan,CHANDINA,2021,Q3,1886.9
nan,CHANDINA,2022,Q1,2213.86
nan,CHANDINA,2022,Q2,2125.33
nan,CHANDINA,2022,Q3,2033.32
nan,CHANDINA,2023,Q1,2357.78
nan,CHANDINA,2023,Q2,2403.41
nan,CHANDINA,2024,,2488.1
nan,CHAUDDAGRAM,2018,Q1,1791.41
nan,CHAUDDAGRAM,2018,Q2,1813.33
nan,CHAUDDAGRAM,2018,Q3,1880.81
nan,CHAUDDAGRAM,2019,Q1,2003.82
nan,CHAUDDAGRAM,2019,Q2,2061.37
nan,CHAUDDAGRAM,2019,Q3,2171.49
nan,CHAUDDAGRAM,2020,Q1,2184.64
nan,CHAUDDAGRAM,2020,Q2,2389.28
nan,CHAUDDAGRAM,2020,Q3,2539.39
nan,CHAUDDAGRAM,2021,Q1,2615.69
nan,CHAUDDAGRAM,2021,Q2,2854.26
nan,CHAUDDAGRAM,2021,Q3,2949.86
nan,CHAUDDAGRAM,2022,Q1,3018.1
nan,CHAUDDAGRAM,2022,Q2,2978.33
nan,CHAUDDAGRAM,2022,Q3,2785.04
nan,CHAUDDAGRAM,2023,Q1,3062.33
nan,CHAUDDAGRAM,2023,Q2,3117.16
nan,CHAUDDAGRAM,2024,,3141.99
nan,CUMILLA SADAR SOUTH,2018,Q1,949.49
nan,CUMILLA SADAR SOUTH,2018,Q2,971.78
nan,CUMILLA SADAR SOUTH,2018,Q3,1017.71
nan,CUMILLA SADAR SOUTH,2019,Q1,1080.81
nan,CUMILLA SADAR SOUTH,2019,Q2,1152.43
nan,CUMILLA SADAR SOUTH,2019,Q3,1240.71
nan,CUMILLA SADAR SOUTH,2020,Q1,1328.87
nan,CUMILLA SADAR SOUTH,2020,Q2,1399.66
nan,CUMILLA SADAR SOUTH,2020,Q3,1504.94
nan,CUMILLA SADAR SOUTH,2021,Q1,1597.93
nan,CUMILLA SADAR SOUTH,2021,Q2,1654.43
nan,CUMILLA SADAR SOUTH,2021,Q3,1854.56
nan,CUMILLA SADAR SOUTH,2022,Q1,1802.78
nan,CUMILLA SADAR SOUTH,2022,Q2,1798.9
nan,CUMILLA SADAR SOUTH,2022,Q3,1732.38
nan,CUMILLA SADAR SOUTH,2023,Q1,2059.78
nan,CUMILLA SADAR SOUTH,2023,Q2,2083.75
nan,CUMILLA SADAR SOUTH,2024,,2062.35
nan,DAUDKANDI,2018,Q1,2003.09
nan,DAUDKANDI,2018,Q2,2095.48
nan,DAUDKANDI,2018,Q3,2157.89
nan,DAUDKANDI,2019,Q1,2290.64
nan,DAUDKANDI,2019,Q2,2361.56
nan,DAUDKANDI,2019,Q3,2482.9
nan,DAUDKANDI,2020,Q1,2507.02
nan,DAUDKANDI,2020,Q2,2753.29
nan,DAUDKANDI,2020,Q3,2892.9
nan,DAUDKANDI,2021,Q1,2954.22
nan,DAUDKANDI,2021,Q2,3190.75
nan,DAUDKANDI,2021,Q3,3338.67
nan,DAUDKANDI,2022,Q1,3364.55
nan,DAUDKANDI,2022,Q2,3232.93
nan,DAUDKANDI,2022,Q3,2953.42
nan,DAUDKANDI,2023,Q1,3341.82
nan,DAUDKANDI,2023,Q2,3439.75
nan,DAUDKANDI,2024,,3473.68
nan,DEBIDWAR,2018,Q1,553.19
nan,DEBIDWAR,2018,Q2,579.07
nan,DEBIDWAR,2018,Q3,574.05
nan,DEBIDWAR,2019,Q1,606.0
nan,DEBIDWAR,2019,Q2,617.22
nan,DEBIDWAR,2019,Q3,637.25
nan,DEBIDWAR,2020,Q1,670.62
nan,DEBIDWAR,2020,Q2,705.38
nan,DEBIDWAR,2020,Q3,738.19
nan,DEBIDWAR,2021,Q1,770.29
nan,DEBIDWAR,2021,Q2,792.82
nan,DEBIDWAR,2021,Q3,803.14
nan,DEBIDWAR,2022,Q1,834.91
nan,DEBIDWAR,2022,Q2,837.14
nan,DEBIDWAR,2022,Q3,811.06
nan,DEBIDWAR,2023,Q1,904.64
nan,DEBIDWAR,2023,Q2,930.12
nan,DEBIDWAR,2024,,930.08
nan,HOMNA,2018,Q1,523.16
nan,HOMNA,2018,Q2,553.55
nan,HOMNA,2018,Q3,563.36
nan,HOMNA,2019,Q1,614.37
nan,HOMNA,2019,Q2,641.55
nan,HOMNA,2019,Q3,669.16
nan,HOMNA,2020,Q1,674.15
nan,HOMNA,2020,Q2,727.74
nan,HOMNA,2020,Q3,769.57
nan,HOMNA,2021,Q1,815.13
nan,HOMNA,2021,Q2,847.18
nan,HOMNA,2021,Q3,878.56
nan,HOMNA,2022,Q1,920.78
nan,HOMNA,2022,Q2,941.25
nan,HOMNA,2022,Q3,856.1
nan,HOMNA,2023,Q1,996.43
nan,HOMNA,2023,Q2,1023.05
nan,HOMNA,2024,,988.65
nan,KOTWALI_CUMILLA,2018,Q1,8077.61
nan,KOTWALI_CUMILLA,2018,Q2,8164.15
nan,KOTWALI_CUMILLA,2018,Q3,8464.13
nan,KOTWALI_CUMILLA,2019,Q1,8902.77
nan,KOTWALI_CUMILLA,2019,Q2,9056.18
nan,KOTWALI_CUMILLA,2019,Q3,9404.56
nan,KOTWALI_CUMILLA,2020,Q1,9904.86
nan,KOTWALI_CUMILLA,2020,Q2,10534.53
nan,KOTWALI_CUMILLA,2020,Q3,10826.01
nan,KOTWALI_CUMILLA,2021,Q1,11147.61
nan,KOTWALI_CUMILLA,2021,Q2,11460.63
nan,KOTWALI_CUMILLA,2021,Q3,12148.09
nan,KOTWALI_CUMILLA,2022,Q1,12898.88
nan,KOTWALI_CUMILLA,2022,Q2,12693.48
nan,KOTWALI_CUMILLA,2022,Q3,12626.3
nan,KOTWALI_CUMILLA,2023,Q1,13673.93
nan,KOTWALI_CUMILLA,2023,Q2,14279.77
nan,KOTWALI_CUMILLA,2024,,14662.52
nan,LAKSHAM,2018,Q1,1867.66
nan,LAKSHAM,2018,Q2,1892.69
nan,LAKSHAM,2018,Q3,1935.94
nan,LAKSHAM,2019,Q1,2045.63
nan,LAKSHAM,2019,Q2,2114.71
nan,LAKSHAM,2019,Q3,2196.77
nan,LAKSHAM,2020,Q1,2271.33
nan,LAKSHAM,2020,Q2,2442.41
nan,LAKSHAM,2020,Q3,2524.75
nan,LAKSHAM,2021,Q1,2616.48
nan,LAKSHAM,2021,Q2,2677.38
nan,LAKSHAM,2021,Q3,2718.65
nan,LAKSHAM,2022,Q1,2943.6
nan,LAKSHAM,2022,Q2,2837.81
nan,LAKSHAM,2022,Q3,2699.56
nan,LAKSHAM,2023,Q1,2956.84
nan,LAKSHAM,2023,Q2,3035.89
nan,LAKSHAM,2024,,3038.52
nan,LALMAI,2018,Q1,143.0
nan,LALMAI,2018,Q2,147.65
nan,LALMAI,2018,Q3,153.89
nan,LALMAI,2019,Q1,159.46
nan,LALMAI,2019,Q2,162.39
nan,LALMAI,2019,Q3,165.22
nan,LALMAI,2020,Q1,167.56
nan,LALMAI,2020,Q2,200.06
nan,LALMAI,2020,Q3,234.17
nan,LALMAI,2021,Q1,255.24
nan,LALMAI,2021,Q2,266.23
nan,LALMAI,2021,Q3,286.16
nan,LALMAI,2022,Q1,283.36
nan,LALMAI,2022,Q2,293.55
nan,LALMAI,2022,Q3,277.93
nan,LALMAI,2023,Q1,311.53
nan,LALMAI,2023,Q2,312.81
nan,LALMAI,2024,,317.85
nan,MEGHNA,2018,Q1,108.48
nan,MEGHNA,2018,Q2,105.73
nan,MEGHNA,2018,Q3,109.59
nan,MEGHNA,2019,Q1,134.76
nan,MEGHNA,2019,Q2,136.56
nan,MEGHNA,2019,Q3,145.12
