district,thana,year,quarter,deposits
nan,MONGLA,2021,Q1,1140.11
nan,MONGLA,2021,Q2,1126.92
nan,MONGLA,2021,Q3,1152.25
nan,MONGLA,2022,Q1,1419.12
nan,MONGLA,2022,Q2,1061.68
nan,MONGLA,2022,Q3,1145.94
nan,MONGLA,2023,Q1,1188.69
nan,MONGLA,2023,Q2,1248.14
nan,MONGLA,2024,,1252.93
nan,MORRELGANJ,2018,Q1,552.51
nan,MORRELGANJ,2018,Q2,444.65
nan,MORRELGANJ,2018,Q3,466.14
nan,MORRELGANJ,2019,Q1,494.78
nan,MORRELGANJ,2019,Q2,506.94
nan,MORRELGANJ,2019,Q3,527.38
nan,MORRELGANJ,2020,Q1,549.23
nan,MORRELGANJ,2020,Q2,552.35
nan,MORRELGANJ,2020,Q3,563.72
nan,MORRELGANJ,2021,Q1,590.77
nan,MORRELGANJ,2021,Q2,595.2
nan,MORRELGANJ,2021,Q3,615.12
nan,MORRELGANJ,2022,Q1,648.42
nan,MORRELGANJ,2022,Q2,646.04
nan,MORRELGANJ,2022,Q3,631.74
nan,MORRELGANJ,2023,Q1,659.09
nan,MORRELGANJ,2023,Q2,685.59
nan,MORRELGANJ,2024,,680.26
nan,RAMPAL,2018,Q1,198.3
nan,RAMPAL,2018,Q2,197.88
nan,RAMPAL,2018,Q3,209.12
nan,RAMPAL,2019,Q1,201.91
nan,RAMPAL,2019,Q2,200.76
nan,RAMPAL,2019,Q3,214.58
nan,RAMPAL,2020,Q1,229.73
nan,RAMPAL,2020,Q2,223.37
nan,RAMPAL,2020,Q3,235.75
nan,RAMPAL,2021,Q1,237.9
nan,RAMPAL,2021,Q2,236.01
nan,RAMPAL,2021,Q3,260.03
nan,RAMPAL,2022,Q1,268.99
nan,RAMPAL,2022,Q2,273.82
nan,RAMPAL,2022,Q3,293.21
nan,RAMPAL,2023,Q1,310.76
nan,RAMPAL,2023,Q2,354.3
nan,RAMPAL,2024,,350.76
nan,SARANKHOLA,2018,Q1,155.84
nan,SARANKHOLA,2018,Q2,164.53
nan,SARANKHOLA,2018,Q3,164.4
nan,SARANKHOLA,2019,Q1,176.41
nan,SARANKHOLA,2019,Q2,177.05
nan,SARANKHOLA,2019,Q3,188.5
nan,SARANKHOLA,2020,Q1,225.7
nan,SARANKHOLA,2020,Q2,226.52
nan,SARANKHOLA,2020,Q3,210.24
nan,SARANKHOLA,2021,Q1,226.31
nan,SARANKHOLA,2021,Q2,226.38
nan,SARANKHOLA,2021,Q3,245.05
nan,SARANKHOLA,2022,Q1,270.02
nan,SARANKHOLA,2022,Q2,277.3
nan,SARANKHOLA,2022,Q3,273.06
nan,SARANKHOLA,2023,Q1,279.92
nan,SARANKHOLA,2023,Q2,292.59
nan,SARANKHOLA,2024,,287.64
BANDARBAN Total,nan,2018,Q1,696.53
BANDARBAN Total,nan,2018,Q2,604.23
BANDARBAN Total,nan,2018,Q3,614.49
BANDARBAN Total,nan,2019,Q1,729.55
BANDARBAN Total,nan,2019,Q2,688.18
BANDARBAN Total,nan,2019,Q3,709.23
BANDARBAN Total,nan,2020,Q1,870.23
BANDARBAN Total,nan,2020,Q2,818.53
BANDARBAN Total,nan,2020,Q3,814.44
BANDARBAN Total,nan,2021,Q1,920.67
BANDARBAN Total,nan,2021,Q2,890.73
BANDARBAN Total,nan,2021,Q3,901.24
BANDARBAN Total,nan,2022,Q1,1038.02
BANDARBAN Total,nan,2022,Q2,1009.09
BANDARBAN Total,nan,2022,Q3,965.27
BANDARBAN Total,nan,2023,Q1,1084.8
BANDARBAN Total,nan,2023,Q2,1105.65
BANDARBAN Total,nan,2024,,1099.24
BANDARBAN,ALI KADAM,2018,Q1,33.42
BANDARBAN,ALI KADAM,2018,Q2,28.7
BANDARBAN,ALI KADAM,2018,Q3,29.51
BANDARBAN,ALI KADAM,2019,Q1,35.38
BANDARBAN,ALI KADAM,2019,Q2,32.22
BANDARBAN,ALI KADAM,2019,Q3,32.36
BANDARBAN,ALI KADAM,2020,Q1,54.28
BANDARBAN,ALI KADAM,2020,Q2,40.37
BANDARBAN,ALI KADAM,2020,Q3,40.5
BANDARBAN,ALI KADAM,2021,Q1,43.93
BANDARBAN,ALI KADAM,2021,Q2,40.05
BANDARBAN,ALI KADAM,2021,Q3,38.16
BANDARBAN,ALI KADAM,2022,Q1,44.86
BANDARBAN,ALI KADAM,2022,Q2,43.51
BANDARBAN,ALI KADAM,2022,Q3,41.11
BANDARBAN,ALI KADAM,2023,Q1,45.05
BANDARBAN,ALI KADAM,2023,Q2,44.67
BANDARBAN,ALI KADAM,2024,,45.07
nan,BANDARBAN SADAR,2018,Q1,477.93
nan,BANDARBAN SADAR,2018,Q2,407.13
nan,BANDARBAN SADAR,2018,Q3,420.25
nan,BANDARBAN SADAR,2019,Q1,492.9
nan,BANDARBAN SADAR,2019,Q2,470.12
nan,BANDARBAN SADAR,2019,Q3,480.58
nan,BANDARBAN SADAR,2020,Q1,582.02
nan,BANDARBAN SADAR,2020,Q2,549.38
nan,BANDARBAN SADAR,2020,Q3,545.29
nan,BANDARBAN SADAR,2021,Q1,611.15
nan,BANDARBAN SADAR,2021,Q2,600.6
nan,BANDARBAN SADAR,2021,Q3,615.28
nan,BANDARBAN SADAR,2022,Q1,693.04
nan,BANDARBAN SADAR,2022,Q2,673.16
nan,BANDARBAN SADAR,2022,Q3,652.51
nan,BANDARBAN SADAR,2023,Q1,715.97
nan,BANDARBAN SADAR,2023,Q2,745.22
nan,BANDARBAN SADAR,2024,,755.56
nan,LAMA,2018,Q1,85.4
nan,LAMA,2018,Q2,80.12
nan,LAMA,2018,Q3,77.76
nan,LAMA,2019,Q1,90.22
nan,LAMA,2019,Q2,89.37
nan,LAMA,2019,Q3,95.99
nan,LAMA,2020,Q1,116.21
nan,LAMA,2020,Q2,119.22
nan,LAMA,2020,Q3,116.92
nan,LAMA,2021,Q1,135.64
nan,LAMA,2021,Q2,132.14
nan,LAMA,2021,Q3,130.59
nan,LAMA,2022,Q1,162.71
nan,LAMA,2022,Q2,163.17
nan,LAMA,2022,Q3,149.47
nan,LAMA,2023,Q1,182.36
nan,LAMA,2023,Q2,173.45
nan,LAMA,2024,,160.56
nan,NAIKHANGCHARI,2018,Q1,42.34
nan,NAIKHANGCHARI,2018,Q2,39.23
nan,NAIKHANGCHARI,2018,Q3,40.89
nan,NAIKHANGCHARI,2019,Q1,47.8
nan,NAIKHANGCHARI,2019,Q2,42.92
nan,NAIKHANGCHARI,2019,Q3,44.67
nan,NAIKHANGCHARI,2020,Q1,50.54
nan,NAIKHANGCHARI,2020,Q2,48.35
nan,NAIKHANGCHARI,2020,Q3,49.72
nan,NAIKHANGCHARI,2021,Q1,55.26
nan,NAIKHANGCHARI,2021,Q2,51.64
nan,NAIKHANGCHARI,2021,Q3,53.29
nan,NAIKHANGCHARI,2022,Q1,56.1
nan,NAIKHANGCHARI,2022,Q2,52.59
nan,NAIKHANGCHARI,2022,Q3,50.49
nan,NAIKHANGCHARI,2023,Q1,55.39
nan,NAIKHANGCHARI,2023,Q2,59.79
nan,NAIKHANGCHARI,2024,,53.79
nan,ROWANGCHARI,2018,Q1,16.5
nan,ROWANGCHARI,2018,Q2,11.65
nan,ROWANGCHARI,2018,Q3,12.05
nan,ROWANGCHARI,2019,Q1,16.46
nan,ROWANGCHARI,2019,Q2,13.2
nan,ROWANGCHARI,2019,Q3,14.45
nan,ROWANGCHARI,2020,Q1,18.3
nan,ROWANGCHARI,2020,Q2,16.18
nan,ROWANGCHARI,2020,Q3,17.65
nan,ROWANGCHARI,2021,Q1,18.86
nan,ROWANGCHARI,2021,Q2,17.29
nan,ROWANGCHARI,2021,Q3,16.62
nan,ROWANGCHARI,2022,Q1,21.69
nan,ROWANGCHARI,2022,Q2,19.65
nan,ROWANGCHARI,2022,Q3,18.19
nan,ROWANGCHARI,2023,Q1,20.65
nan,ROWANGCHARI,2023,Q2,20.68
nan,ROWANGCHARI,2024,,21.87
nan,RUMA,2018,Q1,19.2
nan,RUMA,2018,Q2,17.39
nan,RUMA,2018,Q3,15.78
nan,RUMA,2019,Q1,23.34
nan,RUMA,2019,Q2,19.33
nan,RUMA,2019,Q3,18.14
nan,RUMA,2020,Q1,24.34
nan,RUMA,2020,Q2,22.09
nan,RUMA,2020,Q3,22.35
nan,RUMA,2021,Q1,27.24
nan,RUMA,2021,Q2,23.97
nan,RUMA,2021,Q3,23.87
nan,RUMA,2022,Q1,29.46
nan,RUMA,2022,Q2,30.47
nan,RUMA,2022,Q3,26.81
nan,RUMA,2023,Q1,34.64
nan,RUMA,2023,Q2,31.95
nan,RUMA,2024,,33.98
nan,THANCHI,2018,Q1,21.74
nan,THANCHI,2018,Q2,20.02
nan,THANCHI,2018,Q3,18.24
nan,THANCHI,2019,Q1,23.45
nan,THANCHI,2019,Q2,21.03
nan,THANCHI,2019,Q3,23.05
nan,THANCHI,2020,Q1,24.54
nan,THANCHI,2020,Q2,22.94
nan,THANCHI,2020,Q3,22.01
nan,THANCHI,2021,Q1,28.59
nan,THANCHI,2021,Q2,25.03
nan,THANCHI,2021,Q3,23.44
nan,THANCHI,2022,Q1,30.15
nan,THANCHI,2022,Q2,26.54
nan,THANCHI,2022,Q3,26.68
nan,THANCHI,2023,Q1,30.73
nan,THANCHI,2023,Q2,29.89
nan,THANCHI,2024,,28.41
BARGUNA Total,nan,2018,Q1,1410.85
BARGUNA Total,nan,2018,Q2,1305.02
BARGUNA Total,nan,2018,Q3,1400.65
BARGUNA Total,nan,2019,Q1,1500.4
BARGUNA Total,nan,2019,Q2,1480.05
BARGUNA Total,nan,2019,Q3,1508.57
BARGUNA Total,nan,2020,Q1,1630.72
BARGUNA Total,nan,2020,Q2,1722.64
BARGUNA Total,nan,2020,Q3,1712.66
BARGUNA Total,nan,2021,Q1,1806.29
BARGUNA Total,nan,2021,Q2,1831.2
BARGUNA Total,nan,2021,Q3,1895.07
BARGUNA Total,nan,2022,Q1,1989.85
BARGUNA Total,nan,2022,Q2,2090.05
BARGUNA Total,nan,2022,Q3,2022.96
BARGUNA Total,nan,2023,Q1,2214.89
BARGUNA Total,nan,2023,Q2,2215.98
BARGUNA Total,nan,2024,,2267.68
BARGUNA,AMTALI,2018,Q1,202.4
BARGUNA,AMTALI,2018,Q2,185.17
BARGUNA,AMTALI,2018,Q3,181.43
BARGUNA,AMTALI,2019,Q1,210.42
BARGUNA,AMTALI,2019,Q2,195.48
BARGUNA,AMTALI,2019,Q3,193.57
BARGUNA,AMTALI,2020,Q1,215.69
BARGUNA,AMTALI,2020,Q2,219.42
BARGUNA,AMTALI,2020,Q3,216.36
BARGUNA,AMTALI,2021,Q1,240.11
BARGUNA,AMTALI,2021,Q2,238.69
BARGUNA,AMTALI,2021,Q3,235.52
BARGUNA,AMTALI,2022,Q1,267.75
BARGUNA,AMTALI,2022,Q2,271.34
BARGUNA,AMTALI,2022,Q3,257.41
BARGUNA,AMTALI,2023,Q1,277.93
BARGUNA,AMTALI,2023,Q2,279.64
BARGUNA,AMTALI,2024,,278.32
nan,BAMNA,2018,Q1,119.34
nan,BAMNA,2018,Q2,114.74
nan,BAMNA,2018,Q3,121.53
nan,BAMNA,2019,Q1,128.85
nan,BAMNA,2019,Q2,120.76
nan,BAMNA,2019,Q3,125.95
nan,BAMNA,2020,Q1,134.04
nan,BAMNA,2020,Q2,132.09
nan,BAMNA,2020,Q3,134.16
nan,BAMNA,2021,Q1,140.82
nan,BAMNA,2021,Q2,135.37
nan,BAMNA,2021,Q3,152.68
nan,BAMNA,2022,Q1,134.96
nan,BAMNA,2022,Q2,156.51
nan,BAMNA,2022,Q3,153.83
nan,BAMNA,2023,Q1,169.53
nan,BAMNA,2023,Q2,165.04
nan,BAMNA,2024,,172.76
nan,BARGUNA SADAR,2018,Q1,700.7
nan,BARGUNA SADAR,2018,Q2,633.13
nan,BARGUNA SADAR,2018,Q3,696.45
nan,BARGUNA SADAR,2019,Q1,743.16
nan,BARGUNA SADAR,2019,Q2,745.94
nan,BARGUNA SADAR,2019,Q3,758.66
nan,BARGUNA SADAR,2020,Q1,828.46
nan,BARGUNA SADAR,2020,Q2,908.47
nan,BARGUNA SADAR,2020,Q3,884.96
nan,BARGUNA SADAR,2021,Q1,925.05
nan,BARGUNA SADAR,2021,Q2,945.61
nan,BARGUNA SADAR,2021,Q3,980.71
nan,BARGUNA SADAR,2022,Q1,1033.22
nan,BARGUNA SADAR,2022,Q2,1087.23
nan,BARGUNA SADAR,2022,Q3,1037.15
nan,BARGUNA SADAR,2023,Q1,1161.75
nan,BARGUNA SADAR,2023,Q2,1171.06
nan,BARGUNA SADAR,2024,,1213.54
nan,BETAGI,2018,Q1,171.07
nan,BETAGI,2018,Q2,135.64
nan,BETAGI,2018,Q3,170.3
nan,BETAGI,2019,Q1,178.19
nan,BETAGI,2019,Q2,174.52
nan,BETAGI,2019,Q3,176.77
nan,BETAGI,2020,Q1,191.22
nan,BETAGI,2020,Q2,185.89
nan,BETAGI,2020,Q3,192.78
nan,BETAGI,2021,Q1,203.77
nan,BETAGI,2021,Q2,204.61
nan,BETAGI,2021,Q3,213.4
nan,BETAGI,2022,Q1,232.54
nan,BETAGI,2022,Q2,230.2
nan,BETAGI,2022,Q3,234.43
nan,BETAGI,2023,Q1,242.03
nan,BETAGI,2023,Q2,238.98
nan,BETAGI,2024,,234.86
nan,PATHORGHATA,2018,Q1,185.96
nan,PATHORGHATA,2018,Q2,202.07
nan,PATHORGHATA,2018,Q3,195.84
nan,PATHORGHATA,2019,Q1,203.96
nan,PATHORGHATA,2019,Q2,207.68
nan,PATHORGHATA,2019,Q3,215.91
nan,PATHORGHATA,2020,Q1,220.12
nan,PATHORGHATA,2020,Q2,231.55
nan,PATHORGHATA,2020,Q3,238.11
nan,PATHORGHATA,2021,Q1,245.68
nan,PATHORGHATA,2021,Q2,254.27
nan,PATHORGHATA,2021,Q3,258.67
nan,PATHORGHATA,2022,Q1,262.02
nan,PATHORGHATA,2022,Q2,286.03
nan,PATHORGHATA,2022,Q3,283.68
nan,PATHORGHATA,2023,Q1,305.37
nan,PATHORGHATA,2023,Q2,307.52
nan,PATHORGHATA,2024,,307.27
nan,TALTOLI,2018,Q1,31.38
nan,TALTOLI,2018,Q2,34.27
nan,TALTOLI,2018,Q3,35.1
nan,TALTOLI,2019,Q1,35.81
nan,TALTOLI,2019,Q2,35.67
nan,TALTOLI,2019,Q3,37.72
nan,TALTOLI,2020,Q1,41.19
nan,TALTOLI,2020,Q2,45.22
nan,TALTOLI,2020,Q3,46.29
nan,TALTOLI,2021,Q1,50.86
nan,TALTOLI,2021,Q2,52.63
nan,TALTOLI,2021,Q3,54.09
nan,TALTOLI,2022,Q1,59.37
nan,TALTOLI,2022,Q2,58.76
nan,TALTOLI,2022,Q3,56.46
nan,TALTOLI,2023,Q1,58.28
nan,TALTOLI,2023,Q2,53.74
nan,TALTOLI,2024,,60.92
BARISHAL Total,nan,2018,Q1,8247.18
BARISHAL Total,nan,2018,Q2,8050.68
BARISHAL Total,nan,2018,Q3,8342.2
BARISHAL Total,nan,2019,Q1,8834.69
BARISHAL Total,nan,2019,Q2,8993.21
BARISHAL Total,nan,2019,Q3,9393.39
BARISHAL Total,nan,2020,Q1,10021.0
BARISHAL Total,nan,2020,Q2,10411.85
BARISHAL Total,nan,2020,Q3,10686.2
BARISHAL Total,nan,2021,Q1,11207.08
BARISHAL Total,nan,2021,Q2,12104.55
BARISHAL Total,nan,2021,Q3,12099.4
BARISHAL Total,nan,2022,Q1,13122.01
BARISHAL Total,nan,2022,Q2,12810.82
BARISHAL Total,nan,2022,Q3,12857.92
BARISHAL Total,nan,2023,Q1,13739.42
BARISHAL Total,nan,2023,Q2,14175.71
BARISHAL Total,nan,2024,,14079.66
BARISHAL,AGAILJHARA,2018,Q1,188.8
BARISHAL,AGAILJHARA,2018,Q2,173.95
BARISHAL,AGAILJHARA,2018,Q3,188.2
BARISHAL,AGAILJHARA,2019,Q1,208.61
BARISHAL,AGAILJHARA,2019,Q2,206.91
BARISHAL,AGAILJHARA,2019,Q3,215.85
BARISHAL,AGAILJHARA,2020,Q1,231.7
BARISHAL,AGAILJHARA,2020,Q2,240.39
BARISHAL,AGAILJHARA,2020,Q3,247.41
